Complaint ID,Consumer complaint narrative
1306236,"I am currently unemployed, so I am looking for work. I received an email about a XXXX XXXX position on XXXX/XXXX/XX/XX/2015. I requested more information and and received additional details and some paperwork to complete from XXXXXXXXXXXX. After I performed some research on the company and not finding anything negative, I completed their paperwork on XXXX/XXXX/XX/XX/2015 and awaited further instructions. On XXXX/XXXX/XX/XX/2015, I received an email advising that I had been chosen as a XXXX XXXX. I next started to receive calls from XXXX XXXX XXXX XXXX XXXX XXXX who started the training process of me initially processing checks for their customers as well as funding loans. I was also contacted from XXXX XXXX XXXX XXXX. They wired funds to my account on XXXX/XXXX/XX/XX/2015 and XXXX XXXX to Money Gram this to XXXX of their customers. This was done today XXXX/XXXX/XX/XX/2015 and the Money Gram reference # XXXX. Shortly after the funds were sent, they reversed the initial funds from to my account. The amount of my loss is {$990.00}. Please let me know if you need additional details or if you have questions. This company is still in operation doing business as usual. I would like to see them taken down as they stole my hard earned money and are still using the same website, phone numbers and email addresses. I would like to help out as best I can."
1617882,"while looking for employment I was approached via email XXXX for a XXXX XXXX Position. HR contacted me and passed this initial interview. I was then passed on to the HR trainer where 4 weeks of training would be conducted on line. XXXX 2 weeks I was learning policies, acronyms, processes, etc. and passing weekly tests. The XXXX week i was asked to purchased some equipment ( valued at {$7400.00} XXXX and send out of country to a new office being opened. Being careful throughout this whole process about identity theft, I provided no personal info, in fact the hiring company said a few times that no personal info was required untill I passed the 4 weeks of training and met the hiring manager for the final interview. So for the XXXX project I was issued XXXX that had an account # and routing # XXXX CHASE BANK XXXX with funds that were put into my name that were to be used to purchase the equipment. I was asked to use my personal CC at this time till I became full time employed. I transfered the funds from the account info provided into my personal CC and waited till the funds posted. Once posted a few days later I proceeded to purchase the requested equipment and ship out of country to the designated address. I was requested to use USPS priority international delivery. I was then asked to perform the exact same task a second time which is when I suspected something was n't right and asked a few more questions. At this time the response from XXXX XXXX was not acceptable and knew at this time something was wrong. I sent a final email declining the XXXX project / /purchase and also declined any employement with the company., I then proceeded to stop the shipment that was done earlier that morning with the USPS and was told that I was not able to stop it being it is an international shipment. I then contacted my credit card company "" CHASE '' and explained the situation and was told the funds are OK and no issues. I have been checking my account daily to ensure no issues and on XXXX/XXXX/15, the posted amount of {$8000.00} was reversed from my credit card account. I do not understand how CHASE bank that the funds were transfered from did not know the account I was using to transfer funds does not have a check / balance process in place to review and detect scams like this. A phone call or text or something to the actual owner of the account. Besides the names being different on the accounts. Todays day and age with technology, banks should be able to detect scams like this."
2060433,See attached files. BB & T granted immediate online approval of a 3rd party check for deposit into our personal account via BB & T online banking app ( where they admit technical flaws ). My wife was victim of an articulate online job scam. BB & T approved the check immediately and my wife XXXX XXXX XXXX XXXX took {$870.00} cash out next day to deposit in 3rd party account with XXXX XXXX Bank ( who has now frozen that fraudulent account and funds ). 3 days later ... BB & T notified us our account was drastically overdrawn b/c the check was a scam ( they told us 3 days later! ) and are now trying to hold us responsible for the bad XXXX XXXX check that should have been verified/checked by BB & T immediately. They still have not returned our missing {$190.00} from my account and are trying to hold my family responsible for the negative balance of - {$780.00}. I 've requested details and meetings with BB & T fraud and VP to no avail. Contact XXXX XXXX or XXXX XXXX at XXXX.
2105037,"On XXXX of 2016 my girlfriend accepted a job. Little to our knowledge it was a job scam. The job provided contracts, websites, accreditation, and business registration number. She was told her job was an XXXX. She was told a client was sending money to our account. She was told to open a XXXX XXXX XXXX account. She was told after thirty days they would put her on the company account but until then she had to use her own. The client wired XXXX into our account. The bank approved it and allowed her to move the money. Domestic wire transfers are reviewed and posted the same day. It took a week for them to decide to reject the wire transfer. They froze the account with NO NOTICE. They would n't tell me anything but that my account was under review and to call in three business days. I could n't access my money. I am in the XXXX in three months. I was treated awful by the bank they did n't work with me at all. They accused me of fraud. They should have froze the account the day the wire transfer went in and investigated it then. They should have flagged it. My girlfriend was scammed and we have to pay for it? What kind of protection is that? The fraud department at USAA does n't even have contact information. They said we could n't talk to anyone about the investigation. It was n't until the bank froze the account we found out the job was a scam. We wish we would have known the day the transfer happened. This job spent three weeks convincing and "" training '' my girlfriend. She had no idea it was a scam and she even XXXX and asked for verifications. The bank let us down by not protecting us. We make average money the bank has never seen huge amounts hit out account they should have called and asked about it. They should have investigated it. Within a week of freezing the account all they said was the name was spelled wrong. They were accusing US of first party fraud? And they were exercising their right to do business with us ... not to mention informing us the bank took a "" hit '' by approving the funds they did n't review so we had to pay it back."
2105053,"I fell victim to a job scam for a XXXX that was starting business in America but is headquarter in XXXX ( they went the extra mile to prove legitimacy ) I was told by employer that client was sending me funds that I needed to open a business account at XXXX XXXX XXXX ( they apparently bank there and they said it was cheaper fees ). The wire transfer was sent from client to my bank account via wire transfer ... the bank approved the funds. I did the job. The client attempted to send me another wire transfer. I became uncomfortable with this because it went to my personal account with USAA and not the account they told me to set up. When I tried to send the money my account was froze. All I was told was that it would be three days and my account went to the fraud department ... no details. I talked to my employer who said he would send proof of legitimacy.I sent documents given by employer. When I was accused of fraud because the client spelled his name wrong my employer said he would contact an attorney and get back to me ... well needless to say I never got paid and he never called back. I discover I was part of a job scam. I call the bank to see what they said. They accused me of first party fraud because the client spelled his name wrong when he sent the first transfer. The bank took A WEEK to reject the XXXX wire transfer. I fell victim to a job scam. I know this now. Sadly the bank is keeping my fiance 's XXXX hard earned dollars and we were told we owe almost XXXX dollars! The bank has treated me horribly. They offered no help. I have filed with the state attorney general, the fbi Internet crimes department and the FTC. A domestic wire transfer should n't take a week to reject. USAA should have contacted me way before then, they said that they approved the funds so now we are stuck with the bill. They approved the funds in a few minutes, they should have called and questioned me and help me keep from falling for this. I fell for the scam because everything checked out there were details, numbers contracts and proof of registration as a business. I did n't know anything about job scams until now ... USAA knows who sent me the fraudulent wire transfer. I have the information and bank account numbers of where the money went. Instead of ordering me to repay what the bank was scammed out of why cant they go after the people who tricked me? USAA has hardly told me anything. They only accused me of fraud said they were exercising their rights to not do business with me or my fianc and said they were closing our account and we owe almost XXXX. I do n't feel like I was protected under fraud protection. They did n't provide any information once they froze the account they did n't ask questions to try to keep this from happening. To make matters worse they treated me wrong. When my fianc called they made it seem like we dilibertly caused this. If an investigation is opened to prevent fraud they should at least call and ask questions. Also when we called or messaged they would n't answer our questions. Why does n't the fraud department have a number to call and talk to someone? The day the wire transfer sent if they would have froze the account then and investigated it they could have found the error and rejected it. We spent a week with no money. Our bills are late and we lost our money. USAA did n't protect their customers. They set us up. It even says wire transfers are REVIEWED THE SAME DAY! This one was n't reviewed the same day."
2317878,"I deposited a check from a fraudulent company/ job scam and deposited the check into Bank of America and withdrew the funds after they did n't initially stop the check. Some time after withdrawing the funds, they put the check on hold, causing me to show and overbalance and they are not cooperating with me at all in order to resolve. I understand that they can not directly go after the company, but at the rate I 'm going, I 'm going to be slapped with overdraft fees when they essentially told me to go get the money myself."
2318180,"On Thursday XXXX/XXXX/17, I deposited {$8600.00} into a Wells Fargo account for a job, not knowing that it was all a part of a job scam involving fraudulent transactions and counterfeit checks. On Saturday XXXX/XXXX/17, I visited the same bank where I made a deposit, informed a banker of my situation, opened a new checkings account and had my banker file a claim in order to retrieve the funds. After all this, the account where the funds were sent was blocked and Wells Fargo would begin conducting an investigation which would lead to the {$8600.00} being transferred into the new checkings account so that the overbalance in another account would be resolved. On Monday, I wished to learn about the status of the investigation and after being transferred from department to department for about two hours, the representative I talked to was n't able to find my open claim and I had to start a new claim, even though representatives from previous calls that same day could see my open claim. I would like for Wells Fargo to keep me informed about the status of my claim so that I can have these issues resolved in a timely manner and not be forced to wait longer than I should because of their mistakes."
2693172,"I started searching for jobs online, I uploaded my resume to several positions at XXXX. One day I got an email for a personal assistant from this person called "" XXXX XXXX '' he said he was very interested and offered me the job because of his busy schedule. He said he was an artist,  and traveled a lot so he needed someone to make the orders, take them from suppliers and all the personal duties he could n't be able to do. He said he was gon na send me the check immediately for me to go and get the materials he would need and my payment from there, so he sent an envelope via USPS with a check inside, the person apparently sending this mail was : XXXX XXXX. Address on envelope : XXXX XXXX XXXX XXXX, IN, XXXX. Inside of the envelope was the check with my name printed from a Bank of America account and from "" supplier '' XXXX XXXX XXXX the letter said : ( with incorrect english writing ) that the check was for me to get the materials for XXXX XXXX so he could start the painting for them. So I went to Bank of America and asked the representative if it was an elegible check and she said it was and that the account existed and had funds, so I decided to open an account with Bank of America and then I deposit the check to my account. Meanwhile I was emailing and texting with this person "" XXXX XXXX '' and he was following up what I had to do each assignment, deposit, etc. I told him the funds were on hold and I started telling him what I wanted more information about : his identity. He said he was out from city and he was coming back, and he continue like that until the check was available and Then he asked me to deposit to another supplier the rest of the check ( taking my "" payment '' ) the information he gave me was : XXXX XXXX account name : XXXX XXXX. Checking account No. XXXX When he asked me to do that, I insisted on him to identify himself and he sent me some pictures of a man with artworks. But after that I also asked him for a picture of his ID with his name on it, I told him - '' cover your info I just want to see that because this is weird, more everyday. '' He was agreeing with me but at the end he said if I wanted to run with his money and that he would call autorithies, I told him absolutely not and that I only needed an identification to know who am I working with. After that my account from Bank of America was closed and freezed and I went to see what happened and the manager told me I just made a fraud to Bank of America and I can not open an account or credit at any bank in the Country, she said Bank of America ca n't or want to help or have any relation with me. I did not send any funds to anyone, the "" check '' was deposited to my account by me so they say I am part of fraud and now I ca n't get credit from nowhere because Bank of America reported me to XXXX and XXXX XXXX XXXX. I need help I have every proof, information, emails, receiot, etc necessary I need to take this off from me. Thank you very much."
2949134,"This is a copy of the letter I sent to Chase bank. 

XX/XX/XXXX Dear Chase Bank, I am a customer with Chase bank. I am a victim of a job scam and bank scam. 
I got a job offer from XXXX XXXX XXXX XXXX in XX/XX/2018 which I thought was a genuine company. They said they are an Escrow company. 
I completed my employment registration and was given tasks to make payments to clients involved in escrow. 
The company sent the money into my Chase checking account through XXXX for me to give to the escrow clients. Because I was not required to deposit checks into my account or to spend my money I thought everything was genuine. 
I did not receive any salary or bonus from them. 
On XX/XX/XXXX I found out my Chase checking account was frozen and I called Chase bank who told me someone told them the money deposited into my account was not authorized by them, Chase bank told me the froze the account to conduct their own investigation. Then I realized I was a victim of scam. 

The scammer called Chase bank to make himself or herself the victim and me the culprit to get back all the money they sent. I am the real victim with sleepless nights and my bank account frozen and reported to XXXX. I waited for weeks for the bank investigators to contact me and hear from me, no one contacted me from the bank. This is where Chase bank erred, if they had contacted me to find out my story they would have got to the bottom of finding the culprits before making a decision to revert the payment. 

On XX/XX/XXXX Chase bank reversed the payment to the scammer leaving a very huge deficit in my checking account. Did the scammer tell Chase I stole money from their account even when they paid it themselves. So I filed a claim with Chase bank on XX/XX/XXXX for Chase to look at my evidence and find out the real culprits before they get other victims. I called Chase bank again on XX/XX/XXXX where I was told to submit copies of my evidence to any Chase branch manager in XXXX, Texas. I was able to do so on XX/XX/XXXX. Also see Case Number- XXXX XXXX XXXX where all the evidence to support my claim was provided. 
Hoping the deficit will soon be reversed. 
Thank you for your consideration. 
Truly yours, XXXX XXXX"
3082144,"I came across a job scam situation where the criminal tricked me to deposit a bad check and telling me to give them a cashier 's check. As soon as I deposit a {$5400.00} cashier 's check on XX/XX/2018 to their specific account, I realize I have been scammed and I went back to my Citi bank to ask for help. The personal banker "" XXXX XXXX '' just straight up told me she doesn't know how to help me and just gave me her business card tell me to go home and call costumer support. After I came back home and researched for the costumer support number, called in, the operator asked for the account I deposit to and telling me that she will froze my account and stop the money from going out and told me to call back and check the next day. So I called in the next day, they told me they can't see anything because my account is frozen, telling me to call back again. Therefore, I have been keep calling them back for about a week, at first, every time I called in they reassured me that everything will be fine and telling me to call back another day. Until they finally told me that the check was returned again and they didn't save my money. I felt that my bank has mistreated my situation and did not provide me the most appropriate help, and wasted my time, when I could have a more professional banker 's correct guidance tell me to go back to XXXX XXXX XXXX for a reverse transaction on the cashier check I deposited. Now my checking account is over drawn since I only left {$1000.00} in there and Citi is forcing me to pay back the rest to make up the lost of {$5400.00} or else they will do a debt collection and close my account."
