complaint_id,timestamp,text_length,gemini_analysis,risk_score
1306236,2025-12-03T12:25:08.634899,1365,"{'scam_probability': 100, 'red_flags': ['Unsolicited job offer received via email.', ""Job duties involve 'processing checks' and 'funding loans' for customers, which are high-responsibility financial tasks typically handled by established departments, not new remote hires using personal accounts."", ""Company wired funds directly to the victim's personal bank account for business purposes."", ""Request to immediately send funds via MoneyGram to 'customers' (MoneyGram/Western Union are favored by scammers due to irreversibility)."", ""Funds were reversed/recalled from the victim's account shortly after the victim sent money via MoneyGram, resulting in a direct financial loss."", 'Lack of a traditional, rigorous hiring process (e.g., multiple interviews, background checks) despite the financial nature of the role.', ""Victim's research 'not finding anything negative' is often insufficient; scammers use new or shell companies, or impersonate legitimate ones.""], 'financial_risk': 'High', 'scam_type': ""This is a classic 'Money Mule' scam, which is a variant of a 'Fake Check / Overpayment' scam. The victim is tricked into becoming an unwitting intermediary for moving stolen or fraudulent money. The 'job' is a pretext to get the victim to accept funds (that will later be reversed) and then immediately send a portion of that money to the scammers (or other mules) via an untraceable method like MoneyGram, leaving the victim liable for the full amount when the initial deposit is reversed."", 'victim_profile': ""The victim is currently unemployed and actively seeking work, making them highly vulnerable to seemingly legitimate job offers. They appear trusting, performing basic research and proceeding when no obvious negatives were found. There's a clear lack of awareness regarding common financial scams, specifically how funds deposited into an account can be reversed even after they appear available, and the dangers of using personal bank accounts for company financial transactions or sending money via wire transfers at an employer's request."", 'recommendations': ['Immediately contact your bank to report the fraudulent activity and discuss any potential recourse, as well as protect your account from further issues.', ""Report the incident to law enforcement (e.g., local police, FBI's Internet Crime Complaint Center - IC3, Federal Trade Commission - FTC)."", 'Cease all communication with the scammers; block their email addresses, phone numbers, and any other contact methods.', 'Be highly suspicious of unsolicited job offers, especially those that involve handling money, processing checks, or wiring funds.', 'Never use your personal bank account for company business, particularly for receiving or sending company funds. Legitimate employers will not ask you to do this.', ""Never send money via wire transfer services (like MoneyGram or Western Union) or gift cards at an employer's or job contact's request, regardless of the reason."", ""Understand that just because funds appear in your bank account doesn't mean they have cleared and are irreversible. Banks often make funds available before the transfer is final."", 'Thoroughly verify any job offer. Research the company independently using official channels (e.g., their official website, LinkedIn, reputable job boards), and verify contact information. Look for red flags in the hiring process, such as a lack of interviews or overly simplified onboarding for complex roles.'], 'confidence': 100}",100
1617882,2025-12-03T12:25:20.898026,2510,"{'scam_probability': 100, 'red_flags': ['Unsolicited job offer via email from an unknown entity.', 'Elaborate online training process for a role that involves handling physical goods and finances.', 'Request to purchase company equipment using personal funds (credit card).', 'Provision of funds via account and routing number that are later proven fraudulent (fake check/ACH fraud).', 'Instructions to transfer funds from the provided account details to a personal credit card.', ""Requirement to ship purchased equipment out of the country to a 'new office'."", 'Funds initially credited to the personal account/CC being reversed days later (hallmark of fake check/ACH fraud).', ""The company's initial emphasis on 'no personal info required' which distracts from the financial fraud setup."", 'Pressure to make significant purchases and ship quickly.', ""Vague company name / position (indicated by 'XXXX').""], 'financial_risk': 'High', 'scam_type': ""Fake Check / Overpayment & Reshipping Mule Scam. The victim is unwittingly used as a money mule (transferring fraudulent funds) and a reshipping mule (shipping stolen or fraudulently purchased goods). The 'job' is a pretext to launder money and goods."", 'victim_profile': ""The victim is likely a job seeker, possibly desperate or eager for employment, making them vulnerable to enticing job offers. They demonstrated a degree of caution regarding identity theft but lacked understanding of banking processes related to fund clearance and the mechanics of financial fraud. Their focus on protecting personal information inadvertently made them less vigilant about financial transactions, leading them to trust the fraudulent 'employer' with money handling. The promise of a remote job and structured training likely built false credibility."", 'recommendations': [""Never use your own personal funds (credit card or bank account) to purchase equipment or materials for a 'company'. Legitimate companies provide company cards or direct payment methods."", 'Be highly skeptical of unsolicited job offers, especially those promising remote work with little vetting.', ""Always independently verify the legitimacy of any company offering employment (check official websites, public records, professional networks, and contact details – don't rely solely on information provided by the 'employer')."", ""Understand that funds deposited into your account (via check or transfer) may appear available immediately, but they are not fully 'cleared' for several business days. If the originating transaction is fraudulent, the bank will reverse the credit."", 'Never participate in any job that requires you to receive money, purchase items, and then ship them to another address, especially internationally. This is a common characteristic of a reshipping mule scam.', ""Report the incident to your bank, the credit card company, the FBI's Internet Crime Complaint Center (IC3), and the Federal Trade Commission (FTC)."", 'If you have already shipped items, contact the shipping carrier immediately to attempt a recall, although international shipments are very difficult to stop.', ""Be wary of jobs that involve handling money or packages for a new 'office' or 'client' without substantial, in-person vetting."", 'Educate yourself on common employment scams to recognize red flags early.'], 'confidence': 100}",100
2060433,2025-12-03T12:25:29.853201,986,"{'scam_probability': 95, 'red_flags': [""Victim explicitly identifies it as an 'articulate online job scam.'"", ""Received a '3rd party check' as part of the job offer."", ""Instruction to deposit the check and then 'took {[AMOUNT]} cash out next day to deposit in 3rd party account.' This is a classic hallmark of a fake check scam."", ""The urgency in needing to move funds quickly ('next day')."", ""The check ultimately bounced ('check was a scam' and account became 'drastically overdrawn')."", ""The scam exploits the common misunderstanding that 'immediate online approval' or 'funds available' means the check has fully cleared and is legitimate.""], 'financial_risk': 'High', 'scam_type': 'Fake Check / Advance Fee Scam (often masquerading as a Job Scam or Mystery Shopper Scam)', 'victim_profile': ""The victim was likely seeking online employment, making them vulnerable to fraudulent job offers. They demonstrated a lack of understanding regarding the difference between funds being 'available' in their account and the check actually being 'cleared' by the issuing bank. This misunderstanding, combined with trust in the apparent legitimacy of the job offer and the received check, led them to send money before the fraud was detected. The pressure to act quickly and potentially the desire for a new income stream also contribute to vulnerability."", 'recommendations': [""Never send money (cash, wire transfer, gift cards, crypto) back to someone who sent you a check, especially if it's for an alleged job or task."", ""Understand that 'funds available' in your account does not mean the check has fully cleared. It can take several business days or even weeks for a check to truly clear, especially for a new or large deposit. Always wait for your bank to confirm the check has definitively cleared before using any of the funds."", ""Be highly suspicious of any job offer that requires you to deposit a check and then send a portion of the money elsewhere (e.g., to pay for supplies, software, or another 'vendor')."", ""Verify the legitimacy of any company or job offer independently, using official contact information (not contacts provided by the 'employer')."", ""Report the scam to the Federal Trade Commission (FTC), the FBI's Internet Crime Complaint Center (IC3), and your bank's fraud department."", 'Keep detailed records of all communications and transactions related to the scam.'], 'confidence': 100}",95
2105037,2025-12-03T12:25:45.316458,2080,"{'scam_probability': 98, 'red_flags': ['Requirement to use a personal bank account for company/client funds.', ""A 'client' directly wiring money into the employee's personal account."", 'Instruction to open a specific type of bank account for the job.', ""Promise of transitioning to a 'company account' after a probationary period (e.g., 30 days), which is a tactic to delay discovery of fraud."", ""The 'job' itself acting as a front for receiving and potentially moving funds (money mule activity)."", 'The job description involving handling money for clients without direct company oversight.', 'The initial approval of a large wire transfer, followed by its rejection/reversal a week later.', ""The bank freezing the account and accusing the victim of 'first party fraud'."", ""The 'job' spending three weeks 'convincing and training' the girlfriend, likely involving manipulation and building false trust."", ""The bank stating they took a 'hit' and the victim is responsible for repayment, indicating fraudulent funds were moved."", ""The elaborate setup with 'contracts, websites, accreditation, and business registration number' designed to create a false sense of legitimacy.""], 'financial_risk': 'High', 'scam_type': 'Money Mule / Fake Wire Transfer Scam. The victim was unknowingly recruited as a money mule. Scammers used the pretext of a legitimate job to trick the victim into receiving fraudulent funds (via a fake or reversible wire transfer) into their personal bank account. The intention is typically for the victim to then transfer a portion of these funds elsewhere (often via irreversible means like wire or cryptocurrency) before the original fraudulent deposit is detected and reversed by the bank, leaving the victim responsible for the lost amount.', 'victim_profile': ""The victim and their girlfriend were job seekers, making them vulnerable to enticing job offers. They were trusting, believing the elaborate fake legitimacy (contracts, website, accreditation) provided by the scammers. Despite their diligence in asking for verifications, they were successfully manipulated by a sophisticated scam operation. Their 'average money' background suggests that a large sum hitting their account might have seemed like a genuine and exciting opportunity, making them less likely to question the unusual financial arrangements."", 'recommendations': ['Never use a personal bank account for business transactions, especially for receiving or transferring company or client funds.', 'Be extremely skeptical of any job offer that requires you to receive money into your personal account and then forward it to other individuals or accounts (this is a hallmark of a money mule scam).', 'Always independently verify job offers and company legitimacy using official contact information (e.g., main company website, phone number) not provided by the recruiter.', ""Understand that bank deposits, especially large wire transfers or checks, can take days or weeks to fully clear, and initial 'approval' does not guarantee the funds are genuinely available and irreversible."", ""Report the incident to relevant authorities immediately, including the FBI's Internet Crime Complaint Center (IC3), the Federal Trade Commission (FTC), and your bank's fraud department."", ""Seek legal counsel specializing in consumer banking law or financial fraud to understand rights and liabilities regarding the bank's actions and the demand for repayment."", 'Monitor credit reports for any suspicious activity or signs of identity theft.'], 'confidence': 100}",98
2105053,2025-12-03T12:26:03.848637,3491,"{'scam_probability': 100, 'red_flags': [""Job offer requiring the recipient to receive funds from a 'client' and then forward them (money mule activity)."", ""Instruction to open a new specific business account at a particular bank, allegedly for 'cheaper fees'."", ""Funds sent from a 'client' rather than the 'employer', indicating a third-party transaction designed to obscure the source."", ""The 'employer' provided elaborate 'proof of legitimacy' (details, numbers, contracts, business registration) which turned out to be fake."", 'The employer disappearing and becoming unresponsive after the bank flagged the transaction as fraudulent.', ""The bank freezing the account and accusing the victim of 'first-party fraud' due to discrepancies like a misspelled name on the transfer (common tactic for fraudulent transactions to be caught or recalled)."", ""The promised 'job' tasks primarily revolving around receiving and sending money, which is not a legitimate job function."", 'High pressure to move funds quickly (implied by the sequence of events and rapid fund movement).'], 'financial_risk': 'High', 'scam_type': ""This is a classic 'Money Mule Job Scam'. The victim was unknowingly recruited under the guise of legitimate employment to receive and forward fraudulently obtained funds. The scam leverages the victim's bank account to launder money, making the victim liable when the original fraudulent transfers are reversed by the bank."", 'victim_profile': ""The victim is vulnerable due to a lack of awareness regarding common job scams, particularly money mule schemes. They trusted official-looking documentation (contracts, registration proofs) provided by the scammers, which sophisticated criminals often use to feign legitimacy. They likely had a misunderstanding of how bank transfers work (assuming 'approved funds' means irreversible and legitimate) and the personal liability involved when acting as a financial intermediary. The desire for employment made them susceptible to the fraudulent job offer. The victim also feels betrayed and unprotected by their bank, highlighting a belief that financial institutions should prevent them from falling for scams."", 'recommendations': ['Never accept a job that requires you to receive money into your personal bank account and then send it to others, especially via wire transfer, cryptocurrency, or gift cards. This is a core indicator of a money mule scam.', ""Thoroughly research any company offering you a job. Verify their existence and contact information independently through official channels (e.g., their established public website, not links provided by the 'employer')."", ""Be highly skeptical of 'too good to be true' job offers, especially remote positions with high pay for seemingly simple tasks."", ""Understand that funds appearing in your bank account do not always mean they have 'cleared' and are legitimate. Banks can reverse fraudulent transfers, leaving you liable for any money you've already sent or spent."", 'Do not open new bank accounts or use specific banks at the instruction of a new employer. Legitimate employers will direct deposit into your existing account.', 'Keep meticulous records of all communications, transactions, and documents related to the scam.', 'Continue to cooperate fully with law enforcement agencies (FBI, FTC, State Attorney General) and provide all requested information.', 'Seek legal counsel from an attorney specializing in consumer law or banking disputes to understand your rights and potential options regarding the debt owed to the bank.', 'Monitor your credit report closely for any unusual activity or negative impacts resulting from the account closure and debt.', 'Educate yourself on common scam tactics to better protect yourself in the future.'], 'confidence': 100}",100
2317878,2025-12-03T12:26:11.016300,528,"{'scam_probability': 100, 'red_flags': [""Victim explicitly states 'fraudulent company/ job scam'."", ""Received a check from an unknown/unverified 'employer'."", 'Deposited a check and funds were made available by the bank quickly.', 'Withdrew funds based on initial availability, not full clearing of the check.', 'Check was later put on hold by the bank, indicating it was fraudulent or bounced.', 'Victim now owes the bank the withdrawn funds and faces overdraft fees.', ""The statement 'they essentially told me to go get the money myself' suggests a misunderstanding of bank fund availability rules, which scammers exploit.""], 'financial_risk': 'High', 'scam_type': ""Fake Check Scam (often combined with an Overpayment/Job Scam variant). The scammer sends a fraudulent check for 'startup costs' or 'advance payment', instructing the victim to deposit it and then send a portion of the money back (often via wire transfer or gift cards) before the fake check is identified by the bank. The 'job' itself is usually fake or simply a pretext to get the victim to deposit the check."", 'victim_profile': ""Likely someone actively seeking employment, potentially for remote or flexible roles. They may be financially vulnerable or in urgent need of income, making them susceptible to seemingly easy or well-paying job offers. A key vulnerability is a lack of understanding regarding how bank check clearing processes work (i.e., that 'funds available' does not mean the check has 'cleared' and is legitimate). The victim may also be overly trusting of professional-looking communications."", 'recommendations': ['Immediately contact your bank (Bank of America) to understand the full extent of the debt, discuss potential repayment plans, and explore options for waiving overdraft fees due to being a victim of fraud. Do not ignore communications from the bank.', ""Report the scam to official authorities: the FBI's Internet Crime Complaint Center (IC3.gov), the Federal Trade Commission (FTC.gov), and your state's Attorney General's office."", ""Cease all communication with the fraudulent 'company' or individual who sent the check."", ""Learn about fake check scams: Never spend money from a check until your bank explicitly confirms the check has fully cleared and the funds are irrevocably available (which can take days to weeks, not just 24-48 hours). Funds being 'available' in your account does not mean the check is legitimate."", ""Be highly skeptical of any job offer that involves receiving a check and then being asked to send money back to anyone (even for supplies, software, or 'transfer fees'). This is a hallmark of a fake check scam."", 'Verify job offers independently: Research the company, check their official website, and look for legitimate contact information. Be wary of job offers sent via unsolicited emails or social media messages.'], 'confidence': 100}",100
2318180,2025-12-03T12:26:34.567901,1207,"{'scam_probability': 100, 'red_flags': [""The victim explicitly states they were involved in a 'job scam involving fraudulent transactions and counterfeit checks'."", ""The victim was instructed to 'deposit {[AMOUNT]} into a Wells Fargo account for a job', which is a hallmark of money mule or fake check scams."", ""The involvement of 'counterfeit checks' confirms the use of a common scam tactic where victims unknowingly process fraudulent funds.""], 'financial_risk': 'High', 'scam_type': ""This is a Fake Check / Money Mule Job Scam. The victim was likely recruited for a seemingly legitimate job (e.g., remote assistant, financial agent, mystery shopper) that required them to handle funds. Typically, the victim receives a counterfeit check (which appears legitimate and may even clear initially), deposits it into their own bank account, and is then instructed to transfer a portion of these 'available' funds (via wire transfer, gift cards, or another deposit) to another account or individual before the fake check ultimately bounces. The victim is then held liable by their bank for the full amount of the bounced check, incurring significant financial loss. The reference to 'overbalance in another account would be resolved' suggests the victim's account may have been debited for the fraudulent amount."", 'victim_profile': ""Individuals actively seeking employment, particularly those looking for remote work, flexible hours, or quick income, are highly susceptible. Victims often lack awareness of common financial fraud tactics and the mechanics of check clearing. They may be trusting, desperate for work, or financially vulnerable, making them more likely to overlook suspicious requests or believe offers that seem 'too good to be true'. A lack of understanding about personal liability for fraudulent transactions also contributes to their vulnerability."", 'recommendations': [""Never deposit a check and then send money back, forward, or to a third party, especially if it's related to a job. A legitimate employer will not ask you to do this."", 'Be highly suspicious of any job offer that requires you to use your personal bank account to handle company funds, deposit checks, or transfer money.', ""Understand that 'available funds' from a deposited check do not mean the check has fully cleared. It can take weeks for a fake check to be identified, and you are always responsible for any funds withdrawn or sent against a fraudulent check."", 'Verify all job offers directly with the company using independently found contact information (e.g., their official website), not through contact details provided by the recruiter.', 'Research the company and the specific job offer online for red flags, scam warnings, or inconsistencies before engaging.', ""Report the scam immediately to your bank, local law enforcement, the FBI's Internet Crime Complaint Center (IC3.gov), and the Federal Trade Commission (FTC)."", 'Keep meticulous records of all communications with your bank regarding your claim, including dates, times, and names of representatives.', 'Monitor your bank accounts and credit reports for any further unauthorized activity.'], 'confidence': 100}",100
2693172,2025-12-03T12:26:48.803317,2971,"{'scam_probability': 100, 'red_flags': ['Unsolicited job offer or immediate job offer without a formal interview process (e.g., phone, video, in-person) for a personal assistant role.', ""Employer claims to be an 'artist' who 'travels a lot,' justifying a fully remote arrangement and lack of direct contact."", ""The job description involves handling financial transactions for the employer, such as 'make the orders, take them from suppliers,' which often precedes requests to move money."", ""Immediate offer to send a check for 'materials' and 'payment' upfront before any work has been completed."", ""The instruction to deposit a check, keep a portion, and then send the remaining funds to a 'supplier' or third party (a classic fake check scam maneuver)."", ""The check sender ('supplier XXXX XXXX XXXX') is different from the 'employer' ('XXXX XXXX'), adding a layer of obfuscation."", ""Poor English or grammatical errors in official communications ('incorrect english writing' in the letter)."", ""Pressure or urgency to deposit the check and transfer funds quickly ('following up what I had to do each assignment, deposit, etc.')."", 'Evasive behavior, refusal, or delay in providing clear identification when requested.', ""Threats of legal action ('he would call autorithies') when the victim expresses doubt or requests verification."", ""The bank's statement that the check was 'eligible' and the account existed/had funds is often misinterpreted; funds availability does not mean the check is legitimate or has fully cleared.""], 'financial_risk': 'High', 'scam_type': ""Fake Check Scam (often a subset of Employment Scams or Money Mule Scams). The 'job' is merely a pretext to induce the victim to deposit a fraudulent check and forward funds before the fraud is discovered."", 'victim_profile': ""The victim is an active job seeker, likely eager to secure employment. They exhibited a degree of trust, initially believing the job offer and the bank's preliminary assessment of the check. They were unfamiliar with the intricacies of bank check clearance policies (funds availability vs. final clearance) which scammers exploit. Despite initial compliance, the victim eventually showed good instincts by questioning the scammer's identity and the suspicious financial instructions, but unfortunately, this was after the fraudulent check had been deposited."", 'recommendations': ['Never accept a job offer that requires you to deposit a check and then send a portion of that money back or to a third party. This is a hallmark of a fake check scam.', ""Be highly skeptical of job offers that don't involve a formal interview process (phone, video, in-person)."", 'Always independently verify the legitimacy of any company or individual offering you a job. Check their official website, LinkedIn profiles, and other reputable sources.', ""Understand that 'funds available' in your account does NOT mean a check has fully cleared and is legitimate. Banks are required to make deposited funds available quickly, but it can take weeks for a fraudulent check to be discovered and reversed."", 'If an employer requires you to purchase materials, they should provide the materials directly or reimburse you after purchase, not send you an over-inflated check from which you must extract funds.', ""Never send money to someone you don't know and trust, especially if they are pressuring you or threatening you."", 'If you have already deposited a suspicious check, do not spend the money or transfer any funds. Contact your bank immediately to inform them of your concerns and ask them to investigate the check.', ""Gather all evidence (emails, texts, tracking numbers, check copies) and report the incident to the Federal Trade Commission (FTC), FBI's Internet Crime Complaint Center (IC3), and local law enforcement."", 'Consult with a legal aid or consumer protection agency regarding the bank account closure and fraud report to explore potential options for recourse and clearing your name.'], 'confidence': 100}",100
2949134,2025-12-03T12:27:00.269604,2193,"{'scam_probability': 100, 'red_flags': ['Job involves handling company funds through a personal bank account.', ""Company claims to be an 'Escrow company' but operates in a highly unconventional and illegitimate manner."", ""Tasks involve 'making payments to clients' using funds sent to the personal account."", ""No salary or bonus received, indicating the 'job' itself is the scam."", ""Lack of detailed information about the 'employment registration' or typical hiring processes (interviews, background checks)."", 'Funds sent to personal account before any work or salary is disbursed.', ""The assumption that 'not required to deposit checks or spend my money' makes it genuine, showing a misunderstanding of financial fraud tactics.""], 'financial_risk': 'High', 'scam_type': 'Money Mule Scam (a type of employment/job scam). The victim is unknowingly recruited to launder stolen funds, making them liable when the fraudulent transactions are reversed by the bank.', 'victim_profile': ""The victim appears to be a job seeker, potentially vulnerable due to a lack of understanding of legitimate corporate financial operations and bank fraud. They exhibited trust in the 'company' without adequate verification and may have been attracted by what seemed like an easy or remote job opportunity. Their confusion about how bank reversals work and who the 'real' scammer is indicates a lack of financial literacy regarding such fraudulent schemes."", 'recommendations': ['Never use your personal bank account for work-related funds, especially for receiving and disbursing money for a company. Legitimate companies use corporate accounts.', 'Thoroughly verify any job offer, especially for remote or online positions. Independently research the company, check official websites, and contact them through publicly listed numbers, not numbers provided by the recruiter.', ""Be extremely suspicious of 'jobs' that primarily involve transferring money or processing payments."", 'Understand that funds deposited into your account, even via direct transfer, can be reversed if they are later found to be fraudulent. You will be held responsible for any money spent or sent out.', ""If you suspect a job offer is a scam, report it to the Federal Trade Commission (FTC), the FBI's Internet Crime Complaint Center (IC3), and your local police department."", 'Consult with a legal professional to understand your rights and obligations concerning the deficit in your bank account caused by the scam.', 'Educate yourself on common scam tactics, particularly employment and money mule scams.'], 'confidence': 100}",100
3082144,2025-12-03T12:27:13.834133,1637,"{'scam_probability': 100, 'red_flags': [""The criminal tricked the victim into depositing a 'bad check' (which is inherently a fake check)."", ""The scammer immediately instructed the victim to send a portion of the funds back via a cashier's check."", ""The use of a cashier's check as the method to send money to the scammer, an irreversible transaction once processed."", ""The overall setup was framed as a 'job situation' to create a sense of legitimacy and urgency for the financial transaction."", 'The pressure to send money back quickly before the initial check had fully cleared.'], 'financial_risk': 'High', 'scam_type': ""Fake Check Scam / Overpayment Scam. The 'job' aspect serves as a pretext to initiate the fraudulent financial transaction."", 'victim_profile': ""The victim was likely seeking employment or an income-generating opportunity, making them susceptible to seemingly legitimate 'job offers.' They were vulnerable due to a lack of understanding regarding how bank checks clear (the difference between funds being 'available' and 'fully cleared'), and the irreversible nature of certain payment methods like cashier's checks. The scammer's instructions likely created a sense of urgency, pressuring the victim to act quickly before realizing the fraud."", 'recommendations': [""Never spend or transfer money from a check until your bank confirms it has *fully cleared* and is genuinely valid. Funds appearing 'available' in your account does not mean the check has cleared."", ""Be highly suspicious of any job offer or situation where you are sent a check for an amount greater than expected and instructed to 'send back' the difference to a third party."", ""Avoid using irreversible payment methods such as wire transfers, gift cards, or cashier's checks to send money to unknown individuals or organizations, especially if pressured to do so quickly."", ""Thoroughly research any job offer, particularly those from unsolicited sources. Verify the company's legitimacy and contact them directly through official channels, not information provided by the 'employer.'"", 'Report all scam attempts to your bank, relevant authorities (e.g., FTC, FBI Internet Crime Complaint Center - IC3), and local law enforcement immediately.', 'Educate yourself on common scam tactics and red flags to protect yourself and others from similar fraudulent schemes.'], 'confidence': 100}",100
