complaint_id,timestamp,text_length,gemini_analysis,risk_score
11258229,2025-12-03T15:28:19.338868,1219,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Advanced Fee Scam""}, ""red_flags"": {""communication"": [""Scammer was 'extremely pushy' to transfer funds, indicating high-pressure tactics."", ""Insisted on immediate check deposit due to 'nature of work environment and holidays,' creating false urgency and justification."", ""Impersonation of a 'big HR person' from a known company (Assurant).""], ""financial"": [""Receipt of a check from the 'employer' *before* commencing work, specifically for equipment."", ""Instruction to deposit the check and then *transfer personal funds* (or funds from the seemingly cleared check) to a 'fake vendor' for equipment."", ""The bank advised depositing a suspicious check, but scammers exploit the 'available balance' feature before the check fully clears."", ""Actual financial loss incurred by transferring funds to the scammer.""], ""job_posting"": [""Offer for a remote job, a common target for scammers due to less in-person interaction."", ""Use of legitimate company name (Assurant) and highly realistic documentation to impersonate a real company (Corporate Identity Theft element).""], ""hiring_process"": [""The hiring process involved receiving a check and being instructed to use it to pay for equipment, which is not a standard legitimate hiring practice."", ""Lack of clarity on the full interview process, often these scams have minimal or entirely virtual/text-based 'interviews'.""], ""work_activity"": [""No actual work activity was performed; the scam occurred during the 'onboarding' phase concerning equipment setup.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Current loss: {[AMOUNT]}"", ""explanation"": ""The victim has already lost money by depositing a fraudulent check and then transferring their own funds to a scammer for 'remote equipment.' The transferred funds are likely unrecoverable, as confirmed by PayPal.""}, ""victim_profile"": {""vulnerability_factors"": [""Looking for work in a challenging economy, which increases susceptibility to job offers that seem too good to be true."", ""Trusted official-looking documentation and seemingly verified accounts (though these can be faked or hijacked)."", ""Followed bank advice to deposit a suspicious check, potentially misunderstanding how check holds work."", ""Lack of awareness about the common 'fake check and equipment' scam variant.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue to cooperate fully with all government agencies (FBI IC3, FTC, DFPI) where the scam has been reported."", ""File a formal police report with local law enforcement, providing all collected evidence."", ""Contact your bank again, emphasizing the fraudulent nature of the check and the subsequent transfer, and inquire about any possible recourse for the funds sent out via PayPal, even if seemingly cleared."", ""Provide PayPal with the police report and any reference numbers from other government agencies to strengthen your case, as sometimes new evidence can prompt a re-evaluation."", ""Monitor your credit reports for any signs of identity theft, as your personal information may have been compromised.""], ""verification_steps"": [""Always independently verify job offers by contacting the company directly through their official website or publicly listed phone number, *never* using contact information provided by the recruiter."", ""Be suspicious of any job offer that involves receiving a check and then being asked to send money back, especially for equipment. Legitimate employers provide equipment directly or reimburse *after* purchase with valid receipts."", ""Understand that funds from a deposited check can be made 'available' by your bank before the check actually clears, and if the check is fraudulent, your bank will eventually reverse the deposit, leaving you responsible for any funds you've sent out.""], ""reporting"": [""Continue to follow up with the FBI IC3, FTC, and DFPI."", ""Inform the legitimate company (Assurant) that their identity is being used in a scam, providing them with all relevant details and documentation.""]}, ""confidence"": 100}",100
11310670,2025-12-03T15:28:19.357842,1541,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Corporate Identity Theft""}, ""red_flags"": {""communication"": [""Company impersonation (claiming to be XXXX)"", ""Unsolicited contact (implied by 'contacted by a company claiming to be XXXX')"", ""Communication with 'alleged representatives' not through official company channels (implied by impersonation)""], ""financial"": [""Victim convinced to send money under false pretenses"", ""Never received agreed-upon compensation"", ""Significant amount of money lost"", ""Transactions involved sending money *from* the victim, not just receiving (characteristic of advance fee scams)"", ""Bank denied claim (can be a red flag for recovery process, not necessarily the scam itself, but worth noting)""], ""job_posting"": [""Job duties ('completing sets and reviewing albums and singles') may seem vague or unusual for remote work requiring upfront payment/transfer of funds"", ""No mention of traditional interview process or thorough vetting""], ""hiring_process"": [""Lack of formal hiring process (no interviews, background checks, or official onboarding described)"", ""Rapid engagement in work tasks without proper employment documentation""], ""work_activity"": [""Performing tasks for which no payment was received"", ""The work activity was a pretext to get the victim to send money""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""unknown_amount"", ""explanation"": ""The victim has already lost a significant amount of money through direct transfers to the scammers. The funds were sent under false pretenses related to a fake job, indicating an advance fee component to the scam.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking remote employment (often a target for job scams)"", ""Trusting of perceived legitimate company names and official-sounding communication"", ""Willingness to perform tasks as requested, demonstrating conscientiousness"", ""Lack of awareness regarding common scam tactics (e.g., never send money for a job)""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the fraudulent individuals."", ""Gather all remaining evidence: screenshots of conversations, transaction details, IP addresses if available, email headers."", ""Request a detailed explanation from Santander regarding the 'inconsistencies' cited for the claim denial. Understand the specific reasons to address them if possible."", ""Consult with an attorney specializing in fraud or consumer protection for advice on both the scam recovery and the bank's denial.""], ""verification_steps"": [""Always verify job offers directly with the actual company through official channels (company website, publicly listed contact numbers), never through contact information provided by the alleged recruiter."", ""Be extremely suspicious of any job that requires you to send money, purchase equipment, or process payments on their behalf."", ""Research the company and individuals thoroughly online (LinkedIn, news articles, scam reports)."", ""Use secure payment methods for legitimate transactions and avoid methods like wire transfers or gift cards for employment-related requests.""], ""reporting"": [""Continue to cooperate fully with law enforcement and provide any additional information requested."", ""File a report with the FBI's Internet Crime Complaint Center (IC3) if in the U.S. or the relevant national fraud reporting agency (e.g., Action Fraud in the UK)."", ""Report the corporate identity theft to the actual XXXX company's legal or security department, as they are also victims of impersonation."", ""Report the scam to consumer protection agencies in your region.""]}, ""confidence"": 100}",100
11338911,2025-12-03T15:28:32.917717,1428,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Check Scam""}, ""red_flags"": {""communication"": [""Unsolicited job offer via email."", ""Shift to text message for financial instructions."", ""Scammer stopped responding after funds were lost.""], ""financial"": [""Received digital checks for 'materials' payment."", ""Instructed to pay 'out of pocket' for materials due to check processing delays."", ""Received a 'reimbursement' via another digital check."", ""Checks bounced, leading to loss of all savings.""], ""job_posting"": [""No formal interview process mentioned, quick offer after minimal vetting (asking for achievements).""], ""hiring_process"": [""Rapid hiring decision without a robust process."", ""Immediate focus on payments for materials rather than actual work or onboarding."", ""Unusual payment method (digital checks for materials).""], ""work_activity"": [""No actual work or internship duties described, only financial transactions related to 'materials'.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""All savings"", ""explanation"": ""The victim lost all personal savings after depositing fraudulent digital checks and then sending real money to the scammers before the fake checks bounced. The total loss is described as 'all my savings and everything'.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking employment/internship opportunities."", ""Lack of awareness about how bank checks clear (the 'float' period)."", ""Trusting of official-looking communications (digital checks appearing in bank account)."", ""Pressure to act quickly due to 'schedule not aligning' or 'wait time'.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue to monitor all bank accounts and credit reports for any further unauthorized activity."", ""Change passwords for all online banking and email accounts."", ""Document all communications, transaction details, and bank statements related to the scam."", ""Alert family and friends about the scam to prevent them from falling victim.""], ""verification_steps"": [""Never accept checks (especially digital ones) from an unknown employer or person that require you to send money back or pay for materials upfront."", ""Always verify job offers directly with the company through official channels (company website, HR contact) and not through reply-to email addresses or phone numbers provided by the 'employer'."", ""Understand that funds from deposited checks are often made available by your bank before the check has fully cleared. Always wait for your bank to confirm a check has fully cleared (which can take 5-10 business days or more) before spending or sending any money related to it."", ""Be suspicious of any job offer that involves unusual payment methods or asks you to use your personal funds for company expenses with promised reimbursement.""], ""reporting"": [""Follow up with the sheriff's department and Bank of America on the progress of their investigations."", ""File a report with the FBI Internet Crime Complaint Center (IC3.gov)."", ""Report the incident to the Federal Trade Commission (FTC.gov)."", ""If the scammers impersonated a legitimate company, inform that company's HR or legal department.""]}, ""confidence"": 100}",100
11629506,2025-12-03T15:28:35.861635,1669,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Fake Check Scam""}, ""red_flags"": {""communication"": [""Unsolicited internship offer sent to college email."", ""Communication conducted solely via email and messaging, without phone calls or video interviews."", ""Scammer insisted on urgency ('couldn't wait') when bank processing delays were mentioned."", ""Scammer ghosted (stopped responding) after the victim reported the checks were fake.""], ""financial"": [""Checks sent through email (highly unusual and a common scam tactic)."", ""Requirement to deposit checks and immediately use personal funds to buy 'materials' *before* the checks cleared."", ""Insistence on using personal savings when the victim mentioned bank processing delays."", ""Victim lost all savings and incurred a negative bank balance."", ""Bank confirmed the deposited checks were fake.""], ""job_posting"": [""Unsolicited job/internship offer received without any prior application or interaction."", ""Lack of detailed company information or verifiable job description beyond a generic 'summer internship'.""], ""hiring_process"": [""No interview conducted whatsoever."", ""Immediate job offer without any vetting process (background check, skills assessment)."", ""Lack of formal onboarding or official paperwork (employment contracts, tax forms).""], ""work_activity"": [""The primary 'work' involved depositing checks and purchasing 'materials' with personal funds, acting as a financial intermediary."", ""Lack of clear, legitimate internship duties, learning objectives, or actual work tasks related to the 'company's' industry.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""All personal savings and additional funds, resulting in a negative bank balance."", ""explanation"": ""The victim deposited fraudulent checks and was pressured to send their own real money from savings to the scammer for 'materials' before the fake checks bounced, leading to a complete loss of their funds and a negative account balance.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking employment (internship) to address financial needs (student bills)."", ""Potential lack of experience with legitimate hiring processes and job market scams."", ""Trust in communications received via official channels (college email)."", ""Desire to quickly secure employment and earn money."", ""Unawareness or inexperience with the mechanics of fake check scams.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Contact your bank's fraud department immediately to report the full details of the incident and inquire about any possible recourse, though reimbursement for fake check scams is often limited."", ""Monitor all bank and credit card accounts for any further unauthorized or suspicious activity."", ""Gather and preserve all communication records with the scammer (emails, messages) as evidence.""], ""verification_steps"": [""Always verify any job offer directly with the company using contact information found through independent research (e.g., company's official website), not contact details provided by the recruiter."", ""Be highly skeptical of unsolicited job offers, especially those that bypass traditional hiring steps like interviews."", ""Understand that legitimate employers will never send you money and ask you to send a portion back, particularly for 'materials' or 'software,' and will never ask you to use your personal funds for company expenses upfront."", ""Familiarize yourself with how bank checks clear; always wait for funds to be officially cleared (not just deposited) before spending or sending money based on a check deposit.""], ""reporting"": [""Follow up with the bank institution, local sheriff, and any other agencies you reported to, providing any new information."", ""File a report with the FBI's Internet Crime Complaint Center (IC3) at IC3.gov."", ""Report the incident to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov."", ""Notify your college's IT/security department about the scam originating from an email sent to your college account, as others may be targeted.""]}, ""confidence"": 100}",100
11582419,2025-12-03T15:28:47.467251,636,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Fake Check Scam""}, ""red_flags"": {""communication"": [], ""financial"": [""Scammers sent fake checks."", ""Funds from fake checks were used to make purchases/transfers before the check cleared."", ""Victim used Zelle, an irreversible payment method, to transfer funds.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""Requirement to purchase equipment for work using funds provided by the 'employer' (via fake checks).""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim has already lost {[AMOUNT]} through Zelle due to funds withdrawn against a fake check. The bank has detected the fraud and placed the victim on a payment plan to recover the lost funds.""}, ""victim_profile"": {""vulnerability_factors"": [""Actively seeking a specific type of job, which can make individuals more susceptible to seemingly attractive offers."", ""Lack of awareness regarding fake check scams and the provisional nature of bank deposits.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue to cooperate fully with the bank regarding the payment plan and any ongoing fraud investigation."", ""Monitor all financial accounts and credit reports for any further suspicious activity or signs of identity theft.""], ""verification_steps"": [""Always be suspicious of any job offer that requires you to purchase equipment, software, or supplies using funds sent to you by the employer, especially via check."", ""Understand that funds from a deposited check are often made available by the bank before the check itself has fully cleared. A check can take days or even weeks to clear, and if it's fake, the bank will reverse the deposit, holding you responsible for any money spent or transferred."", ""Verify the legitimacy of any company or job offer by independently contacting the company through official channels (e.g., their official corporate website, not information provided by the 'recruiter')."", ""Avoid using irreversible payment methods like Zelle, wire transfers, or gift cards for employment-related transactions.""], ""reporting"": [""Since a financial loss occurred and fraud was confirmed by the bank, report the scam to the FBI's Internet Crime Complaint Center (IC3) if not already done."", ""Report the incident to the Federal Trade Commission (FTC) to help track and combat similar scams.""]}, ""confidence"": 100}",100
11913356,2025-12-03T15:28:52.092827,3015,"{""scam_probability"": 98, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Overpayment/Fake Check Scam""}, ""red_flags"": {""communication"": [""Unsolicited approach for services."", ""Individual claimed to work for a legitimate entity (school) without clear verification."", ""Insistence on paying in full upfront with a 'certified cashier's check' rather than a standard deposit."", ""Pressure to cash the check 'digitally as soon as possible'."", ""False claim that the check 'has been deposited successfully and deducted from their account the moment I cashed it' when funds were only pending."", ""Immediate request for a return of funds (overpayment) shortly after the check deposit, citing project changes/cancellation."", ""Scammer went 'dark' and lost contact once confronted about the fake check."", ""Communication heavily reliant on text and email for official project changes and financial requests.""], ""financial"": [""Receipt of a check for an amount higher than initially required (implied overpayment which then became explicit)."", ""The check ultimately proved to be fake and reversed."", ""Request to send money back digitally, which is often irreversible."", ""Direct financial loss incurred by the victim.""], ""job_posting"": [""Unsolicited contact for work/services.""], ""hiring_process"": [""Unusual payment terms (full payment upfront via check, refusal of standard deposit terms)."", ""Rapid change in project scope and cancellation shortly after financial transactions.""], ""work_activity"": [""Project changes and cancellation initiated immediately after the victim deposited the fake check, setting up the overpayment request.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""[AMOUNT]"", ""explanation"": ""The victim incurred a direct financial loss of {[AMOUNT]} by sending their own money back to the scammer before the initial fake check for {[AMOUNT]} had cleared. The fake check then bounced, leaving the victim responsible for the amount they sent plus any bank fees.""}, ""victim_profile"": {""vulnerability_factors"": [""Desire for work/income, making them receptive to job offers."", ""Trust in official-looking communications and institutions (impersonation of a school)."", ""Lack of awareness regarding bank check clearing processes (funds being 'available' vs. 'cleared')."", ""Belief that a 'certified cashier's check' guarantees funds."", ""Pressure to act quickly on financial requests.""], ""risk_level"": ""Medium""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Document all communication (texts, emails), transaction details, and bank statements related to this incident."", ""Contact Capital One again, providing all documented proof, and formally appeal their decision to deny the claim, emphasizing their failure to review provided evidence."", ""Monitor bank accounts and credit reports for any suspicious activity, as personal information (name, address, bank, phone) was shared.""], ""verification_steps"": [""Always independently verify unsolicited job offers or project proposals by contacting the alleged company/school directly through official channels (website, public directory), not through contact information provided by the individual."", ""Be highly suspicious of any payment that involves sending money back to the payer, especially for an 'overpayment'. Legitimate employers/clients will not typically overpay and ask for funds back."", ""Understand how bank checks clear. Funds being 'available' in your account does not mean the check has 'cleared'. Always wait 5-10 business days (or more for large checks/new accounts) for a check to fully clear before spending any money or sending funds related to it."", ""Never send money via irreversible methods (wire transfers, digital payments like Zelle to strangers, gift cards) to an unknown party.""], ""reporting"": [""File a detailed report with the FBI's Internet Crime Complaint Center (IC3.gov)."", ""Report the scam to the Federal Trade Commission (FTC.gov)."", ""Contact the legitimate school/entity that was impersonated to inform them of the identity theft."", ""File a police report with local law enforcement, providing all documented evidence.""]}, ""confidence"": 100}",98
11576878,2025-12-03T15:29:04.053754,673,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Check Scam (often disguised as Fake Placement/Staffing Scams)""}, ""red_flags"": {""communication"": [""Instructions to transfer funds to an organization 'Aiding the less fortunate' which is a common cover story used by scammers to elicit sympathy and provide a 'reason' for the fund transfer."", ""Communication methods that push for quick action and immediate fund transfers.""], ""financial"": [""Receipt of an illegitimate check as part of an 'employment' task."", ""Instructions to cash the check and immediately transfer a portion of the funds to a third party (the 'organization') before the check has fully cleared the bank."", ""Use of instant payment methods like Zelle for irreversible fund transfers, making recovery difficult once the check bounces."", ""The victim being held responsible for the transferred funds when the check inevitably bounces.""], ""job_posting"": [""The nature of the 'employment' involved processing and transferring funds, which is highly unusual for legitimate entry-level or remote roles and a classic indicator of a money mule scam.""], ""hiring_process"": [""The hiring process was likely minimal, with little to no formal interview, background check, or legitimate HR processes, designed to onboard the victim quickly for the financial task.""], ""work_activity"": [""The primary 'work activity' involved handling and transferring money using personal bank accounts, which is a key red flag for a money mule scheme where victims inadvertently help launder stolen funds.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim incurred a direct financial loss of {[AMOUNT]} due to transferring funds from an illegitimate check before it bounced. Although some compensation was received, the initial critical loss and associated financial distress make this a high-impact event.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking employment (indicated by 'employment scam' context), making them susceptible to fraudulent job offers."", ""Lack of awareness or understanding of how bank checks clear and the associated risks of fake check scams."", ""Trust in the scammer's instructions regarding the 'charity' and the urgency of the fund transfer."", ""Potential desire to help others (if the 'Aiding the less fortunate' aspect resonated).""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue to cooperate fully with law enforcement regarding the police claim and provide any additional information or evidence."", ""Monitor bank accounts and credit reports diligently for any further suspicious activity or unauthorized transactions, as personal banking details were involved."", ""Ensure all financial institutions involved (your bank, Zelle) are aware of the fraudulent nature of the transaction and the police report.""], ""verification_steps"": [""Never cash a check and send money back to anyone, especially as part of a job offer. Legitimate employers use direct deposit."", ""Understand that funds deposited from a check may appear available in your account immediately, but it can take days or weeks for the check to truly clear and the funds to settle."", ""Always verify any employment offer directly with the company using official contact information from their corporate website, not from the recruiter or email provided in the offer."", ""Be extremely wary of any job that requires you to use your personal bank account for company transactions or to 'test' payment systems.""], ""reporting"": [""Report the incident to the Federal Bureau of Investigation's Internet Crime Complaint Center (IC3) at www.ic3.gov."", ""File a complaint with the Federal Trade Commission (FTC) at www.ftccomplaintassistant.gov."", ""Report the scam to your state's Attorney General's office or consumer protection agency.""]}, ""confidence"": 98}",100
4635636,2025-12-03T15:29:11.836810,714,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Overpayment Scam""}, ""red_flags"": {""communication"": [""Urgency and pressure tactics: 'sane that XXXX needs to go today', 'he pushes me to go and do a money order and send it to them via overnight mail'"", ""Instruction to use untraceable payment methods: money order, overnight mail.""], ""financial"": [""Receipt of an unsolicited or unexpected check for an amount seemingly unrelated to prior agreement."", ""Instruction to deposit a check and then immediately send a portion of the money back to a third party (or the scammers themselves) before the check fully clears."", ""The amount of the check exceeds what was promised (implied by needing to send money back, characteristic of an overpayment scam)."", ""The victim's bank confirming inability to credit back the lost funds.""], ""job_posting"": [""The 'job' offer itself seems to be a pretext for a financial transaction rather than actual work."", ""Vague job description where the primary 'task' involves handling money.""], ""hiring_process"": [""Lack of a formal interview process or detailed onboarding beyond 'fill up all my information'."", ""Rapid progression to financial transactions (receiving a check) without actual work being performed.""], ""work_activity"": [""The core 'work' involves depositing a check and sending money, which is not a legitimate job function.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Undisclosed, but already incurred"", ""explanation"": ""The victim has already deposited a fraudulent check and sent real money from their account before the fake check bounced, resulting in an unrecoverable financial loss confirmed by their bank.""}, ""victim_profile"": {""vulnerability_factors"": [""Unemployment: 'Im unemployed right now'"", ""Desire for extra income: 'I thought that its gon na be nice to make an extra money'""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the scammers immediately."", ""Monitor all bank accounts and credit reports for any further suspicious activity."", ""Keep all documentation related to the scam (emails, texts, tracking numbers, bank statements)."", ""Contact your bank again to understand any lingering liabilities and what steps you can take, if any, to mitigate further damage.""], ""verification_steps"": [""Be extremely cautious of any job offer that involves depositing a check and then sending money back (especially via wire transfer, money order, or cryptocurrency). This is a hallmark of an overpayment/fake check scam."", ""Understand that funds from a deposited check are not truly 'available' until the check has fully cleared, which can take days or even weeks, regardless of when your bank makes the funds accessible."", ""Legitimate employers will not overpay you and then ask you to send money back."", ""Verify the legitimacy of any company or individual offering employment. Look for official websites, contact information, and reviews outside of the information provided by the potential employer."", ""Never use untraceable payment methods for work-related transactions if instructed by an employer.""], ""reporting"": [""Report the scam to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov."", ""File a complaint with the Internet Crime Complaint Center (IC3) at IC3.gov (FBI)."", ""Since a physical check was received via mail, report it to the U.S. Postal Inspection Service (USPIS) at www.uspis.gov/report."", ""Report the incident to your local police department for documentation, although financial recovery through them is unlikely.""]}, ""confidence"": 100}",100
4516979,2025-12-03T15:29:20.846817,2240,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Check Scam (Employment Scam variant)""}, ""red_flags"": {""communication"": [""Job listing taken off website shortly after application, making it difficult to verify."", ""Contact initiated by a different person ('XXXX') for a different job role ('XXXX XXXX job') than originally applied for."", ""Vague and unusual job description involving 'running personal errands' and handling 'donations' for a school position."", ""Urgency in hiring ('start the following week') without a formal interview or proper vetting process."", ""Instructions to send money (via money orders) shortly after depositing a check, pressuring the victim to act before the check can clear.""], ""financial"": [""Received a check that subsequently bounced, leading to an overdrawn bank account."", ""Instructed to purchase items ('XXXX XXXX XXXX') and send a significant amount of money via irreversible money orders."", ""The victim's bank account became overdrawn due to the bounced check and the funds sent."", ""Bank representative confirmed this is a 'common thing' (a known fake check scam pattern)."", ""Money orders were sent to an address in a different state (XXXX, TX), making recovery difficult.""], ""job_posting"": [""Original job listing disappeared, reducing traceability."", ""School district verified they did NOT host the specific job listing mentioned by the scammer, indicating impersonation."", ""Scammers used the name of a legitimate institution (school district) to lend credibility.""], ""hiring_process"": [""No formal interview process, background checks, or typical onboarding paperwork mentioned."", ""Immediate offer of employment and instructions to start 'the following week' without due diligence."", ""Job duties (personal errands, handling donations) are not typical for a legitimate school position and are characteristic of fake personal assistant/mystery shopper scams.""], ""work_activity"": [""The first tasks involved making purchases and sending money for the scammer's benefit, rather than performing actual job duties for the school."", ""Instructions to send money using irreversible methods like money orders.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Unknown (victim explicitly states 'XXXX' for the first purchase and 'XXXX' and '[AMOUNT]' for money orders, indicating a direct and significant financial loss from these transactions, in addition to the overdrawn bank account due to the bounced check)."", ""explanation"": ""The victim has already incurred a direct financial loss by depositing a fraudulent check and then sending money via irreversible money orders before the check cleared. This resulted in an overdrawn bank account and unrecoverable funds.""}, ""victim_profile"": {""vulnerability_factors"": [""Recently homeless and unemployed, creating a high sense of urgency and desperation to secure income and stability."", ""Just managed to get their bank account out of negative, making them extremely susceptible to financial distress from this scam."", ""Trust in perceived legitimate sources due to the use of a school district's name.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the scammers immediately and block their contact information."", ""Continue to monitor your bank account closely for any further suspicious activity."", ""Keep all existing documentation (emails, bank statements, money order receipts, police reports, etc.) organized and secure."", ""Do not send any more money or personal information to anyone claiming to be part of this 'job' or similar offers.""], ""verification_steps"": [""Always verify any job offer directly with the company or institution through independently sourced contact information (e.g., official website, not contact details provided by the 'employer')."", ""Never deposit a check from an unknown source and spend or send money from it before the check has fully cleared. Funds being 'available' in your account does not mean the check has cleared; this process can take 5-10 business days or more.""], ""reporting"": [""The victim has already taken excellent and appropriate steps by filing reports with the Police, FTC, Internet Crime Complaint Center (IC3), and USPS. Ensure all these agencies have the most complete and consistent set of evidence to aid their investigations.""]}, ""confidence"": 100}",100
5834474,2025-12-03T15:29:25.893940,3015,"{""scam_probability"": 100, ""scam_type"": {""primary_category"": ""Fake Placement/Staffing Scams"", ""subcategory"": ""Work-from-Home/Equipment Scam (Fake Check)""}, ""red_flags"": {""communication"": [""Lack of formal hiring process (no mention of interviews, just 'under the impression I was employed')."", ""Communication about the job opportunity seems to be via social media ('messaged by someone on XXXX') for an official company position, which is unusual.""], ""financial"": [""Received checks from the 'employer' for 'office equipment' purchase."", ""Instructed to deposit checks and then send money to a 'third-party equipment supplier'. This is a hallmark of a fake check scam."", ""Bank 'cleared' the money initially, giving a false sense of security, before the check was determined to be fraudulent. Funds availability does not equal check clearance."", ""Overdraft and miscellaneous fees incurred due to the fraudulent check bouncing.""], ""job_posting"": [""Remote job opportunities are frequently exploited by scammers to avoid in-person verification."", ""Specific company name 'XXXX' is provided, which scammers often spoof or create fake websites for.""], ""hiring_process"": [""No mention of traditional onboarding, training, or actual job tasks before the financial transaction requirement."", ""The immediate focus of the 'job' was handling money for equipment, rather than performing job duties.""], ""work_activity"": [""The initial 'work' involved depositing a check and then transferring funds, which is not a typical first task for an employee.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Amount of the first check transferred to 'equipment suppliers' + associated bank overdraft/miscellaneous fees."", ""explanation"": ""The victim deposited a fraudulent check and then, trusting the initial bank clearance, transferred real money (which will be deducted from their account when the check bounces) to the scammer. The bank will hold the victim liable for the funds sent and any resulting fees.""}, ""victim_profile"": {""vulnerability_factors"": [""Recent graduate ('recent XXXX XXXX looking within the job market') often eager for employment and potentially less experienced in identifying sophisticated scams."", ""Trust in initial bank 'clearance' of funds, misunderstanding the difference between funds availability and final check clearance."", ""Previous experience with fraud (at a different bank) suggests a possible repeated targeting or a learned trust in bank resolution processes, which might have lowered initial caution.""], ""risk_level"": ""Medium""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue to monitor all bank accounts and credit reports for any further suspicious activity."", ""Maintain meticulous records of all communications, bank statements, police reports, and claim documentation."", ""Persistently follow up with Truist regarding the claim, emphasizing the police report and the fraudulent nature of the transaction to have all fees waived and funds potentially recovered."", ""If any personal identifying information (beyond bank account details for deposit/transfer) was shared, consider placing a fraud alert on credit reports.""], ""verification_steps"": [""Always verify job offers directly with the company using official contact information from their corporate website, not information provided by the recruiter/scammer."", ""Be highly suspicious of any job that requires you to send money, especially after depositing a check from the 'employer'. Legitimate employers do not send checks for equipment and ask you to forward money to suppliers."", ""Understand that 'funds available' in your bank account does NOT mean the check has fully cleared and is legitimate. It can take days or weeks for a fraudulent check to bounce.""], ""reporting"": [""Already filed a police report (excellent)."", ""Report the scam to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov."", ""Report to the FBI's Internet Crime Complaint Center (IC3) at IC3.gov."", ""If the job posting was found on a specific platform (e.g., LinkedIn, Indeed, etc.), report the fraudulent posting to that platform.""]}, ""confidence"": 98}",100
