complaint_id,timestamp,text_length,gemini_analysis,risk_score
17186864,2025-12-03T20:32:30.016172,1343,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fraudulent Inducement/Advance Fee Scam""}, ""red_flags"": {""communication"": [""Stalled for weeks with various excuses and then stopped responding all together.""], ""financial"": [""Asked to provide {[AMOUNT]} in advance for an {[AMOUNT]} contract."", ""Made a series of XXXX transfers to XXXX XXXX XXXX XXXX XXXX XXXX.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""Received advance payment for services not rendered.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""Victim paid a significant amount upfront for a service that was never provided, and recovery through banks has been unsuccessful.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking home repair services (potentially implies trust in service providers).""], ""risk_level"": ""Medium""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Continue pursuing legal action against the individual and the company."", ""Gather all documentation: contract, payment records, communication logs, evidence of the individual's conviction.""], ""verification_steps"": [""Consult with a legal professional specializing in consumer fraud and contract disputes."", ""Explore options for reporting the scam to consumer protection agencies at state and federal levels (e.g., FTC, State Attorney General).""], ""reporting"": [""File a detailed complaint with the Federal Trade Commission (FTC)."", ""File a complaint with the State Attorney General's office in the relevant state(s)."", ""Report the individual and company to the Better Business Bureau (BBB).""]}, ""confidence"": 98}",95
16108072,2025-12-03T20:32:30.488383,370,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Wire Fraud/Phishing""}, ""red_flags"": {""communication"": [""Communication from a potentially compromised internal email system (suggests a phishing or hacking attempt)""], ""financial"": [""Instructions to make a wire transfer for a significant purchase (car)"", ""Beneficiary account details were altered (bank name changed), indicating manipulation of financial instructions"", ""The beneficiary account name remaining correct despite the bank change is a common tactic to build trust and deceive the victim""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""Instructed to transfer funds to an unknown/fraudulent account""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""High (cost of the car)"", ""explanation"": ""The victim was instructed to wire funds for a car purchase, which were then rerouted to a fraudulent account. The potential loss is the entire amount wired.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking to make a significant purchase (car)"", ""Reliance on trusted communication channels (internal email system)""], ""risk_level"": ""Medium""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Contact the bank immediately to attempt to recall the wire transfer."", ""Inform the car dealership and the legitimate car buying service about the fraudulent activity."", ""Do not engage further with any communication claiming to be from the car dealership or buying service regarding this transaction unless independently verified through official channels.""], ""verification_steps"": [""Verify all future financial instructions through direct, independently obtained contact information (phone numbers, official websites) rather than relying on email.""], ""reporting"": [""Report the incident to local law enforcement."", ""File a complaint with the Federal Trade Commission (FTC)."", ""Report the fraudulent account to the bank and relevant financial authorities.""]}, ""confidence"": 98}",95
17224078,2025-12-03T20:32:33.150425,3012,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Deposit/Check Scam""}, ""red_flags"": {""communication"": [""Communication mirrored legitimate messages from the bank, including the same wording and format, indicating a deceptive tactic.""], ""financial"": [""Instructed to deposit a cashier's check into a fraudulent account."", ""Funds were processed despite being an unauthorized deposit to a fraudulent account."", ""Bank representative advised they could not stop or reverse the transaction while pending, only 'flag' it as fraudulent."", ""Victim was advised to take the loss due to authorization of the transfer and potential untraceable scammers."", ""Potential loss of {[AMOUNT]} of funds.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""Depositing a cashier's check into a fraudulent account.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim was scammed into depositing a cashier's check into a fraudulent account, resulting in a significant financial loss. The bank's inability to immediately stop the pending transaction and their subsequent dismissal of an investigation exacerbate the risk.""}, ""victim_profile"": {""vulnerability_factors"": [""The initial contact from the 'fraud department' appeared legitimate, making the scam more convincing."", ""Reliance on the bank's initial advice (or lack thereof) to resolve the issue.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the individuals involved in the initial 'fraud department' contact."", ""Gather all documentation related to the account and the fraudulent transaction (emails, transaction records, bank statements).""], ""verification_steps"": [""Contact Wells Fargo directly using official customer service numbers (not numbers provided in suspicious communications) to formally report the fraud and demand an investigation."", ""Escalate the issue within Wells Fargo to a higher level of management or a dedicated fraud investigation unit."", ""File a formal police report for the fraud."", ""Report the incident to the Federal Trade Commission (FTC).""], ""reporting"": [""Federal Trade Commission (FTC)"", ""Local Law Enforcement"", ""Financial Crimes Enforcement Network (FinCEN)""]}, ""confidence"": 98}",95
15792287,2025-12-03T20:32:33.379270,664,"{""scam_probability"": 75, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Payment/Transaction Scams""}, ""red_flags"": {""communication"": [""The complaint mentions being 'told' things, but doesn't specify the communication channel (email, text, etc.), which could hide poor grammar or unprofessional language if it were a job context.""], ""financial"": [""The mention of needing to 'complete vaccinations and prep' prior to pickup, along with a financial amount mentioned in brackets, strongly suggests a demand for upfront payment for goods or services related to the 'job'."", ""The denial of the Wells Fargo claim 'even when fraudulent' and the rejection from Apple customer service suggest that funds were sent, and the perpetrators are likely using these financial channels to launder money or obscure the transaction.""], ""job_posting"": [""The promise of a 'puppy' as part of a job offer is highly unusual and would likely be a 'too good to be true' promise, especially if it involved a financial outlay beforehand.""], ""hiring_process"": [""The mention of a 'pick up location of our nearest police station' is an odd detail for a typical job onboarding or equipment distribution, and could be a tactic to legitimize a fraudulent transaction or as part of a money mule scheme."", ""The complaint implies immediate engagement with a transaction (puppy purchase) without a formal hiring process.""], ""work_activity"": [""The idea of receiving a 'puppy crate' and a physical pickup at a police station could be a misdirection for a money mule or package reshipping scam. The puppy could be a lure to create an emotional connection and make the victim less suspicious of financial instructions.""]}, ""financial_risk"": {""level"": ""High"", ""potential_loss"": ""Significant, as indicated by the mention of financial amounts and the need to dispute transactions."", ""explanation"": ""The victim has already incurred financial loss and is attempting to recover it, indicating a significant financial impact.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking remote/work-from-home opportunities (implied by the unusual pickup location and potential for a less conventional job).""], ""risk_level"": ""Medium""}, ""evidence_strength"": ""Moderate"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the alleged job provider."", ""Do not send any further payments or financial information."", ""Secure any evidence of communication and transactions.""], ""verification_steps"": [""If this were a legitimate job, the victim should verify the company's existence through official channels (e.g., Better Business Bureau, company website, LinkedIn)."", ""Independently research the stated 'job' responsibilities and typical industry compensation to identify discrepancies.""], ""reporting"": [""Report the incident to the Federal Trade Commission (FTC)."", ""Report the incident to the FBI's Internet Crime Complaint Center (IC3)."", ""File a police report if not already done, detailing all financial transactions and communications.""]}, ""confidence"": 75}",75
17187709,2025-12-03T20:32:34.788518,535,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Money Mule""}, ""red_flags"": {""communication"": [""Victim is experiencing significant emotional distress ('mentally drained')."", ""Urgency and pressure to resolve within 24 hours."", ""The contact person is 'always in a meeting', suggesting evasion.""], ""financial"": [""Request for money to be sent and then to resolve the issue with that money."", ""Mention of a 'transaction' and an 'ID code' suggests the victim may have already sent money."", ""Difficulty in retrieving funds or contacting the entity that received the payment.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""The core of the complaint is about a financial transaction that has gone wrong, strongly implying the victim was involved in moving or processing money for someone else, characteristic of money mule scams."", ""The mention of 'trace XXXX XXXXXXXX' and not having the 'payment' suggests a failure in a money transfer operation.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Unknown, but likely significant as the victim is seeking resolution for a payment that has not been received by the intended party after a transaction."", ""explanation"": ""The victim is actively trying to resolve a missing payment that they were likely involved in facilitating, indicating they may have already lost money or are responsible for its recovery.""}, ""victim_profile"": {""vulnerability_factors"": [""Seeking remote/work-from-home opportunities (implied by the context of dealing with financial transactions, often offered remotely)."", ""Employment desperation (implied by the level of distress and urgency to resolve the issue).""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with the individuals/entities involved in the transaction."", ""Do not send any further money or financial information."", ""Contact their bank or financial institution immediately to report the fraudulent transaction and inquire about any potential for chargebacks or recovery.""], ""verification_steps"": [""Gather all documentation related to the transaction (transaction IDs, recipient information, communication logs)."", ""Attempt to trace the funds through their bank, if possible.""], ""reporting"": [""Report the incident to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov."", ""File a police report with their local law enforcement agency."", ""Report to any relevant platform where the communication or transaction took place (e.g., social media, messaging apps).""]}, ""confidence"": 98}",95
17043107,2025-12-03T20:32:36.938355,1334,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Bank Representative Scam""}, ""red_flags"": {""communication"": [""The scammer called the victim impersonating their bank (USAA). While the phone number was genuine, the caller was not."", ""The scammer used a sense of urgency and fear by claiming suspicious transactions and a legal process.""], ""financial"": [""The victim was instructed to initiate transfers that mirrored the alleged fraudulent transactions."", ""The victim was asked to perform transactions from an old external account that lacked funds, implying the scammers wanted to verify the victim's ability to move money and potentially gain access to account details."", ""The victim lost money that was 'stolen' from their account.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""The core of the scam involved the victim being manipulated into moving money between accounts, even if it was just to simulate transactions for the scammers' false dispute process.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""Amounts specified in the complaint, potentially greater if further actions were taken."", ""explanation"": ""The victim has already lost funds and their bank is seeking repayment for the stolen money, placing them in significant financial jeopardy.""}, ""victim_profile"": {""vulnerability_factors"": [""Employment desperation (implied by the phrasing 'I no longer have those funds that were stolen from me so I don't know what to do.')"", ""Lack of experience with financial scams (believed the scammer's instructions to resolve suspicious transactions).""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Contact USAA immediately to report the fraudulent activity and the scam attempt."", ""Secure all bank accounts and change passwords."", ""If possible, try to recall any specific details provided by the scammer (names, specific instructions, etc.).""], ""verification_steps"": [""Always verify incoming calls claiming to be from your bank by hanging up and calling the bank directly using the official phone number from their website or the back of your bank card."", ""Never share account details, passwords, or initiate transactions based on unsolicited phone calls or messages.""], ""reporting"": [""Report the incident to the Federal Trade Commission (FTC)."", ""File a police report.""]}, ""confidence"": 98}",95
17055813,2025-12-03T20:32:36.940540,923,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Money Mule Scam""}, ""red_flags"": {""communication"": [""The complaint itself is a recount of communication issues, implying the initial communication was likely poor or misleading, leading to the victim's predicament.""], ""financial"": [""Involvement of multiple bank accounts (XXXX XXXX XXXX, My account XXXX, XXXX XXXX XXXX, BOA XXXX XXXX XXXX, Chase) for transfers, which is a common tactic in money mule scams to obscure the money's origin and destination."", ""Large sums of money ({[AMOUNT]}) being transferred, indicative of potentially illicit financial activity."", ""Money being sent to a personal bank account before being further transferred, a hallmark of money mule operations."", ""The victim is unable to recover the money, with banks pointing fingers at each other and the supposed sender.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""The core activity described is receiving money in one account and sending it to another, often to a different bank. This is the defining characteristic of a money mule scam."", ""The victim states, 'XXXX said you let us send the money, you money is gone, XXXX send to boa, you need call them,' which implies the victim was instructed to facilitate these transfers as part of some 'job'.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The victim has lost a significant sum of money that was debited from their account and has not been recovered. The entire amount transferred is at risk.""}, ""victim_profile"": {""vulnerability_factors"": [""Employment desperation (implied by engaging in a task that involves sending money)."", ""Seeking remote/work-from-home opportunities (implied by the nature of the task described in the complaint).""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Cease all communication with any individuals or entities related to this 'job'."", ""Do not send any more money or engage in further transfers."", ""Secure all financial accounts involved."", ""Consider closing compromised accounts and opening new ones.""], ""verification_steps"": [""Gather all documentation related to the transactions (emails, transaction records, bank statements)."", ""Contact the bank fraud department of all involved financial institutions to formally report the fraudulent activity.""], ""reporting"": [""File a police report with local law enforcement, detailing the scam and providing all gathered evidence."", ""Report the scam to the Federal Trade Commission (FTC) at ftc.gov/complaint."", ""Report the scam to the FBI's Internet Crime Complaint Center (IC3) at ic3.gov.""]}, ""confidence"": 95}",95
17249374,2025-12-03T20:32:37.553658,1558,"{""scam_probability"": 95, ""scam_type"": {""primary_category"": ""Financial Mark Scams"", ""subcategory"": ""Fake Check/Wire Transfer Scam""}, ""red_flags"": {""communication"": [""Contact initiated online through the business website, which can be a common phishing vector.""], ""financial"": [""Received a cashier's check for an amount greater than the agreed-upon retainer."", ""Instructed to wire money back to the scammer, purportedly for \""electronics going in the home\"" and an \""additional item\"" that was forgotten."", ""The cashier's check was ultimately discovered to be fraudulent after funds were wired."", ""The scammer sent a second, higher-value fake cashier's check after the initial fraud was discovered.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": [""The core activity involved receiving a fraudulent check and then wiring funds back to the scammer, a hallmark of money mule schemes or fake check scams where the victim is used to launder money or transfer actual funds.""]}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]} (initial wire) + {[AMOUNT]} (second wire)"", ""explanation"": ""The victim wired significant amounts of money based on a fraudulent check, resulting in substantial financial loss and an overdrawn bank account.""}, ""victim_profile"": {""vulnerability_factors"": [""Business owner likely experiencing financial pressures or seeking new projects."", ""Seeking new projects and trusting initial communication from a website inquiry."", ""Potentially unfamiliar with sophisticated financial fraud schemes targeting businesses.""], ""risk_level"": ""High""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Do not cash or deposit the second cashier's check."", ""Contact your bank immediately to report the fraud and discuss options for recovering funds, though recovery is unlikely after a wire transfer."", ""Close the bank account that was used for the fraudulent transactions if possible, or work with the bank to secure it.""], ""verification_steps"": [""Cease all communication with the scammer."", ""Gather all documentation related to the transactions: emails, phone records, the fraudulent checks, bank statements showing deposits and withdrawals.""], ""reporting"": [""File a police report with your local law enforcement agency."", ""Report the fraud to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov."", ""Report the scam to your bank's fraud department."", ""If the scam involved a fake job or business opportunity, consider reporting it to relevant business registration authorities or platforms.""]}, ""confidence"": 98}",95
17275369,2025-12-03T20:32:39.663027,986,"{""scam_probability"": 20, ""scam_type"": {""primary_category"": ""None Identified"", ""subcategory"": ""None Identified""}, ""red_flags"": {""communication"": [""Kraken is refusing all communication: They do not answer emails"", ""They blocked me from their XXXX support groups"", ""They blocked me from Krakens XXXX support page"", ""Their support system provides no human response or escalation"", ""No explanation was ever provided""], ""financial"": [""Kraken is withholding approximately {[AMOUNT]} belonging to my business."", ""My Kraken business account is frozen, and I am completely blocked from withdrawing crypto or USD."", ""The company is withholding {[AMOUNT]} of corporate assets with zero communication.""], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Critical"", ""potential_loss"": ""{[AMOUNT]}"", ""explanation"": ""The user's business funds are completely inaccessible, causing immediate and severe financial harm.""}, ""victim_profile"": {""vulnerability_factors"": [], ""risk_level"": ""Low""}, ""evidence_strength"": ""Strong"", ""recommendations"": {""immediate_actions"": [""Contact Kraken support through official channels and document all attempts."", ""Seek legal counsel immediately due to the significant amount of frozen funds and lack of communication.""], ""verification_steps"": [""Verify the legitimacy of Kraken's communication channels and support contacts."", ""Review Kraken's terms of service regarding account freezes and dispute resolution."", ""Gather all documentation related to the business account, including verification documents and transaction history.""], ""reporting"": [""Report the incident to relevant financial regulatory bodies (e.g., FinCEN in the US, FCA in the UK, or equivalent in the user's jurisdiction)."", ""Consider reporting to consumer protection agencies.""]}, ""confidence"": 95}",20
17218217,2025-12-03T20:32:39.664235,1370,"{""scam_probability"": 0, ""scam_type"": {""primary_category"": ""None"", ""subcategory"": ""None""}, ""red_flags"": {""communication"": [], ""financial"": [], ""job_posting"": [], ""hiring_process"": [], ""work_activity"": []}, ""financial_risk"": {""level"": ""Low"", ""potential_loss"": ""N/A"", ""explanation"": ""The complaint describes a financial transaction dispute, not an upfront financial risk related to a job scam.""}, ""victim_profile"": {""vulnerability_factors"": [], ""risk_level"": ""Low""}, ""evidence_strength"": ""Weak"", ""recommendations"": {""immediate_actions"": [], ""verification_steps"": [], ""reporting"": []}, ""confidence"": 100}",0
