id,Consumer complaint narrative
11581481,I was in a authorized push scam. they pretended to be someone my husband went to school with. and showed me her ID and everything. she asked for XXXX to help and double our money. this would only take XXXX minutes. well needless to say they never gave me my XXXX because they had upgraded me to a higher amount. and that i had to pay for those tax fees this went on until my payment was XXXX dollars and they took XXXX from us. then they wanted me to buy gift cards and send them the cards numbers then they wanted me to set up a cash app account so i did and they walked me through how to send money through that and then they wanted me to send money through zelle. and then the bitcoin machine and i had no idea what a bitcoin machine was or where to find XXXX at. then she gave me her administration ( XXXX XXXX ) who claim to be with XXXX and he had .multiple phone numbers there are also different wallet ids for the scammers also. I had a lawyer call me and told me if i gave them XXXX dollars they would give us XXXX XXXX the head of finance for XXXX  called me his name is XXXX XXXX. and tried to get money from us too. they took everything from us. I went to the bank and the bank told me that yes we were scammed but they couldnt give our money back because of the way it was pushed scammed from us. which is completely unfair to us. I do have a voicemail from the lady at the bank telling me that they found a solution to our problem and when i called her back she said that we are not getting our money back. then scammers told me they cant help me if i dont help myself!!!! i am sending all the files i can that will allow me too but if you need more please let me know i have all the evidence from the scam.
10439900,I have a capital one shopping rewards account under email XXXX I redeemed 3 gift cards so far and I used everyone of them so they cant claim I resold them when I can show proof I used them but anyways I can no longer use my cash back which is over XXXX XXXX  I might add to redeem for anymore gift cards. At this point they are stealing my money and that is a felony. Im close to getting legal help. I just want to be able to spend my cash back is all so Im not sure why they are giving me a hard time.
7879071,"Recently I was a victim of a work from home job opportunity which turned out to be a fraud/scam that targeted and stole all my money from linked sources to my venmo account. I contacted venmo and went through the difficult process of contacting support to file a report and dispute. Up to that point I had not had anh issues or filed any disputes, and i have been a long time customer of venmo. After over a week of back and forth with customer support and sending proof and supporting documents to prove my claim, I eventually get transferred to a sketchy "" account specialist '' email with no direct phone number. The "" specialist '' emails me saying that my account is suspended and something about violating venmo terms. Every other disputed transaction was approved and the others, especially the larger transactions I was scammed from were denied. It literally looks obvious that the specialist picked and chose which transactions to approve and denied the important ones. I respond to the email voicing my concerns about the investigation process and resend all my proof, police reports, screenshots, etc. Only days later to find out that my account was permanently closed and my funds locked in venmo. I am unable to contact or reach the "" account specialist '' or anyone directly because they are only reachable by email. Also, they respond in an untimely manner of 7-10 business days which is not acceptable. I need help please. Venmo is neglecting to and it seems purposely avoiding their obligation to the customers."
13083309,Chase employees stole XXXX of points from my cc card account. They used it to buy {$250.00} XXXX gift card & then they covered it up. I never have ordered this card & I never got it. I spend 1h on the phone with customer service I was transferred 4 times but they were just laughed straight on me bc they know that I'm not going to get this money back. I close this account in order to safe my credit from more chase froud but after being customer many years I'm very disappointed & I will tell everybody around what XXXX XXXX XXXX  bank it is.
8225100,I was in a authorized push scam. they pretended to be someone my husband went to school with. and showed me her ID and everything. she asked for XXXX to help and double our money. this would only take 3-5 minutes. well needless to say they never gave me my XXXX because they had upgraded me to a higher amount. and that i had to pay for those tax fees this went on until my payment was XXXX dollars and they took XXXX from us. then they wanted me to buy gift cards and send them the cards numbers then they wanted me to set up a XXXX XXXX account so i did and they walked me through how to send money through that and then they wanted me to send money through XXXX. and then the XXXX  machine and i had no idea what a XXXX  machine was or where to find one at. then she gave me her administration ( XXXX XXXX ) who claim to be with XXXX and he had .multiple phone numbers there are also different wallet ids for the scammers also. I had a lawyer call me and told me if i gave them XXXX dollars they would give us XXXX .then the head of finance for XXXX  called me his name is XXXX XXXX. and tried to get money from us too. they took everything from us. I went to the bank and the bank told me that yes we were scammed but they couldnt give our money back because of the way it was pushed scammed from us. which is completely unfair to us. I do have a voicemail from the lady at the bank telling me that they found a solution to our problem and when i called her back she said that we are not getting our money back. then scammers told me they cant help me if i dont help myself!!!!
10637534,"We found a condo to rent on XXXX XXXX XXXX  for XXXX XXXX XXXX Went to Wells fargo XXXX  XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXXXXXX to transfer funds to Wells Fargo Bank on XXXX XXXXXXXX XXXX XXXX had a check deposited from our account to the account given to us by scammers at the XXXX XXXX XXXX XXXX XXXX for {$6500.00}. This was the first payment of two. The banker assured us everything was in order with the account we sent the funds too. We communicated with scammers as they acknowledged receiving the funds. Next payment of {$7000.00}. was due in XXXX but now to XXXX XXXX  XXXX XXXX XXXX, the scammers told us they had problems with XXXX and so they have switched to XXXX XXXX. We had a check drawn for {$7000.00}. from our XXXX account and transferred to XXXX XXXX  XXXX XXXX XXXX. Again scammers said they recieved the funds and everything was good to go. Arrived at condo in XX/XX/XXXX to find no one there and no one to contect, scammers were gone. Filed complaint with XXXX XXXX Police and FBI. 
XXXX Wells Fargo Scam Department in XX/XX/XXXX, filed complaint. We were told at that time the XXXX account to which we made deposit in was closed in XX/XX/XXXX for fraudulent activity. Asked why we were not notified to which that answered they couldn't tell us for privacy regulations. I said how can it be a privacy violation when we knew the account number and name, again privacy regulation? Asked why the police were not notified to which they said they don't usually do this. I said once the police are involved legal process takes over so privacy regulation does not apply. He didn't know for sure. 
I have tried to resolve this matter several times with escalation to XXXX XXXX XXXX XXXX with no results, XXXX claims no responsibility in this scam I have said over and over if we had known in XXXX it could have lead to prosecution of scammers and stopped the second payment. All they had to do is notify XXXX XXXX Police, the detective I filed our complaint with said they would have contacted us to answer questions which would possibly made arrests, can not find out XXXX months later of account closure."
6774482,"On XX/XX/XXXX, I received a check from a job that I had applied for. I applied for a job with a healthcare company and the check came from a healthcare provider so I assumed it was a legitimate job. I went through the interview process and was told I had been hired but I needed to go through training. I was told that I needed to purchase the equipment to be able to do the job and since the company was out of the country I would need to buy the equipment myself. When I received the check my manager wanted me to deposit the check into my account but wait until it cleared before spending any of the funds. I thought that once the check cleared it was fine because what bank would clear a bad check? I waited until it cleared and notified the hiring manager. She proceeded to tell me to send the money via XXXX to 2 different accounts. I was told that I was sending money to Vendors who had the equipment and they were going to come install it at my house. I was told to send {$2000.00} to one person and {$1500.00} to another but the transfers were broken up into separate amounts. She also wanted me to send money via XXXX XXXX but XXXX XXXX refunded it back to me. Her last request was for a {$500.00} gift card. She asked me to take a picture of the card and send it to her. She wanted me to buy the gift card so that I could use it to get a landline installed at my house. I was told to go to XXXX XXXX and purchase a printer and headset for the job as well. 
The hiring manager sent me a {$4500.00} check asked for nearly all the funds back and once the check bounced I was left with an account that was {$4500.00} in the negative. Bank of America cleared the check but they are refusing to take responsibility for it. I also quoted Federal Regulation E, from the EFT Act that the Bank must reimburse you even if you sent the money yourself and someone induced you to send them money. When I called the Bank, I was told that this is a common scam but they are unwilling to do anything about it. 
The bank cleared the check so I thought this was a legitimate job opportunity. There was no protection for me from the bank, they should have stopped the transactions immediately."
8491314,"ive been receiving fraudulent letters from Bank of America impersonators, saying they've been trying to contact me about my BofA credit card, and these scammers have my credit card number. They use a fake bofa letterhead. i know this because i called bofa today and my credit card statement is NOT overdue, im on XXXX and i owe XXXX at the moment. they letter asks me to pay {$61.00} online, or by phone or mail it in. They use a fake "" case number '' .. the bofa representative today told me the case number they reference in the letter is not even a bofa formatted case number. The bofa rep said my acct is in great standing, i owe XXXX and to throw these letters in trash. In XX/XX/2023 my entire identity was stolen, so this is probably XXXX im getting these fraud letters in the mail. They're adrressed to me. I had to get all new credit cards, new bank accounts, the whole nine yards, it took months to resolve. The scammers were from XXXX and they attempted to use my credit card info to buy things online. Things like digital gift cards, cell phones etc. I stopped them in their tracks by cancelling all my XXXX 's. But now, im still receiving these fake letters asking to pay overdue credit cards that are not overdue. Its upsetting they have my XXXX number, or at least the last XXXX numbers of it. These letters also have a XXXX code on the top right corner, but bofa rep today told me they never add a XXXX code to their correspondence letters. please help me. If people are not smart they will fall victim to these scams."
8192188,"On XXXX XXXX Ive ordered Macys gift cards XXXX XXXXXXXX {$190.00} XXXX XXXX, {$100.00} physical gift card. On XX/XX/XXXX Ive received e-gift card. Per Macys  delivery XXXX XXXX ( I dont remember exact date ) Ive received physical gift card. Ive contacted to Macys  and I let them know I havent received gift card, I requested cancel funds from this card. Ive contacted multiple times, on XX/XX/XXXX and I was assured funds from both cards will be transferred funds from gift cards to my Macys credit card, I was told it will take XXXX business XXXX. XXXX Ive contacted again, I was told wait a XXXX  more XXXX. 
On XXXX XXXX Ive contacted supervisor, XXXX XXXX, Ive explained my situation, I was told XX/XX/XXXX request did not process. He told me he put manual request and he sent me email. On XX/XX/XXXX Ive contacted supervisor XXXX XXXX, I informed him XXXX going to file complaint about Macys, he asked me wait until next weekend, and as accommodation issued {$30.00} Macys  XXXX XXXX. On XX/XX/XXXX Ive contacted to XXXX XXXX, she told me wait until XX/XX/XXXX. On XX/XX/XXXX Ive contacted to XXXX XXXX he told me my request declined. I did not receive physical gift card, I did not redeemed e-gift card. After XXXX XXXX struggle I lost my {$290.00} ( {$100.00} physical card, {$190.00} e-gift card )."
9539934,"Below is described a sequence of events from the start of the issue to present day. 

- Check deposits by H ( me ) on XX/XX/XXXX at a Wells Fargo ATM $ XXXX + $ XXXX + $ XXXX = a total of $ XXXX. The checks were issued by XXXX 's father to give H money to acquire some shares of a family house on XX/XX/XXXX. 

- H obtains a receipt from the ATM for the deposit stating that the deposit will be reviewed. No money or information on the deposit is visible on my account in the next hour. H calls Wells Fargo customer service immediately to file a claim and is told that the checks are under review and resolution XXXX take XXXX business days. 

- Seeing that nothing was happening leading up to XX/XX/XXXX, XXXX tells Wells Fargo that he is going to get the money via a wire from his father ( sent on XX/XX/XXXX ) instead and asks if the check processing can be interrupted. 

- Despite H 's request, the check deposits still go through and money is pulled from XXXX 's father 's account at XXXX on XX/XX/XXXX. 

- H waits to see if the money from the checks will reach his account after being pulled from the issuing account. 

- Nothing happens for several days and H asks in person on XX/XX/XXXX for Wells Fargo to act so the money is either returned to XXXX or gets deposited on XXXX 's account. An email thread including XXXX XXXX ( Wells Fargo ) and XXXX XXXX ( XXXX ) is opened on XX/XX/XXXX formally asking in writing for a resolution. 

- XXXX also investigates the issue and confirms that all three checks have been processed and pulled from XXXX 's father 's account. No further action can be taken by XXXX since the checks have been fully processed. 

- A case is opened at Wells Fargo by XXXX XXXX on XX/XX/XXXX - case number XXXX. 

- Nothing happens for several more days. H inquires again and asks for action. 

- On XX/XX/XXXX, XXXX XXXX opens another case - No XXXX. 

- Nothing happens until XX/XX/XXXX. No information is provided back to XXXX XXXX money is credited to XXXX 's account. 

- On XX/XX/XXXX, H asks XXXX XXXX by email : Can I please have the name and email of someone at a high enough level to get Wells Fargo 's mistakes corrected? He also asks that the money ( $ XXXX ) be credited to his account by Wells Fargo immediately, regardless of the status of any current case. 

- Today is XX/XX/XXXX. The money is still lost somewhere at Wells Fargo and is still not on XXXX 's account. 

- At 5 % rate of return ( T Bond ), this is costing H and father at least {$20.00} a day."
14388860,"I was misled by an acquaintance into sending {$300.00} through XXXX ( from my Chase checking account ) based on a false promise involving my Chase credit card. 

While visiting XXXX, Michigan, this person said their company allows them to use gift cards to pay off other peoples bills at a 50 % discount. They offered to make a {$600.00} payment toward my Chase credit card. After I confirmed the payment had posted to my account, I sent them {$300.00} via XXXX to the email address they gave me assuming it was a legitimate transaction. 

Later, the {$600.00} credit card payment was reversed, and I realized the gift card or method they used was likely fraudulent or stolen. I now understand that I was manipulated. The XXXX payment I made went to someone I dont know, and the person who coordinated this with me has now disconnected their number and it is no longer in service ( XXXX ( XXXX ) XXXX ), so I can no longer reach them.

I reported this to Chase, but they could not help my request to recover the XXXX payment saying it was authorized but they said they can file a claim. They did not tell me how the claim would help me. I contacted XXXX and Chase credit card customer service, but they could not help. While I did send the payment myself, I was misled under false pretenses, and the payment was based on a transaction that was later found to be fraudulent. 

I am requesting a full review of the {$300.00} XXXX transfer and the associated {$600.00} credit card reversal, along with any assistance available to recover my money. I'm willing to share more information and proof."
14027524,"My sister saw a car for sale on my "" supposed friends '' facebook page and wanted to purchase it. I reached out to "" him '' and told him that my sister was interested in purchasing the car. So he said "" send me her information '' and I'll reach out to her- so I sent him her facebook information. They were in communication and then apparently he sent her a # to zelle the {$500.00} deposit to- it kicked back and said : Sorry for the inconvenience, but XXXX is under maintenance - you'll receive your refund within XXXX hours back into your account - then her told her, maybe it's the amount, so try to send {$100.00} - so she did and she got the same response. I told her I would try, so I reached out to him vis XXXX XXXX, and told him I would try to get him the deposit for her- so he gave me a # to send it to, which he said was his uncle 's sister ( XXXX was supposedly in hospice ) - so I zelled the {$500.00} to that # - got the same response back that my sister did, stating it was because of a maintenance issue and the money would be refunded within XXXX hours. I explained that to him and he told me to try XXXX XXXX, so I did and it declined the money ; then said try to send it as a gift card of the apple application, and it declined it again. So he wanted me to try to XXXX XXXX again, then it finally went through the next 2 days along with the zelle payment that supposedly wasn't going through. That person sent me several phone # 's claiming it was a family member of his and maybe that they were having an issue on their end - then next day he kept asking for the money that was "" never received '' - so that prompted me that this has to be someone who hacked my friends XXXX ( because everything looked legit that this was actually my friend when I went on his page ). I Googled all of the # 's that we were given, and not XXXX of them were anyone I knew and were people out of XXXX XXXX- I reported it to my Bank XXXX Bank of America ) and they told me that more than likely I wasn't getting any of my money back, which I didn't and even reached out to XXXX XXXX bank, and they stated the same since I willing sent the money to the people. So my sister is out {$600.00} and I'm out {$1000.00} - apparently my friends XXXX had been hacked for months, but XXXX did nothing to remove it. I have all the screenshots of the # 's and conversations- just would like to get my money back. I have all screenshots of the entire back and forth conversation and all the phone # 's provided from the scam person"
11879581,"On XX/XX/year>, I faced the consequences of losing {$3500.00} and deducting {$150.00} along with compromising my identity because of a job scam. I received a text from an unknown XXXX XXXX XXXX from XXXX XXXX ( XXXX ) asking if I would like to be eligible for a position as XXXX XXXX XXXX XXXX for XXXX XXXX She referred me to XXXX XXXX XXXX a XXXX  chat. I conversed with HR from XXXX XXXX XXXX XXXX and proceeded to do an in-chat interview. I was told that I was hired and would start working on XX/XX/year>. I was asked to send a Photo ID by XXXX and HR provided a start-up check that covers software/office equipment suppliers. He asked me go to the bank to make a wire transfer and provided another vendor 's wire transfer info. I found that check funds from XXXX were insufficient that it took money out of my checking account. I stated to XXXX over XXXX chat that he would call the accounting dept and they would reinstate the check amount of XXXX dollars. He asked me to provide my account numbers and routing numbers. But that was my last interaction with him before receiving no response on his end. I went to the bank for help and a refund request but they won't help me out."
8238282,"Despite amble evidence that the transaction was indeed fraudulent, fifth third bank deemed the transaction valid which I lost {$2000.00} from. Fifth third bank knew the check deposited was fraudulent but refused to dispute the transaction of {$1500.00} and transaction of {$500.00} for transfer to XXXX XXXX. The transaction occurred on XX/XX/XXXX of 2023. The whole transaction happened as a result of the scammer tricking me into sending money with that check that fifth bank recognized as fraudulent. Therefore, the transactions for transfer to XXXX XXXX  are invalid and should be illegal to deny a dispute for. I tried calling the disputes department multiple times and even warned them, I will take you to court for deciding the invalid transaction is valid."
14438348,I understand that my account was permanently deactivated due to suspicious activity in XXXX. Im writing to clarify that I was a victim of a job scam and had no intention of violating XXXX terms. I would deeply appreciate the opportunity to provide documentation and context around what happened.
11293997,"XXXX. Refunds Issued as Gift Cards Instead of Cash I made a request in XXXX not to receive refunds via gift cards, yet Macy 's has continued to issue them despite your preferences. This issue has been ongoing for several years since XXXX and still going all these years. 
Despite multiple interactions with customer service and confirmations that gift cards were issued, you never received them. 
XXXX. Expired Gift Cards and No Reimbursement According to the most recent information provided by a Macys representative, there are a {$40.00} gift cards issued in your name, but they have expired because they were not used within the time frame. Macys is now refusing to refund you in any other manner. 
Ive been told that these gift cards are no longer valid, but no other refund option or compensation has been offered. 
3. Lack of Clear Communication and Documentation Despite being a loyal customer and consistently paying my bills on time, Im experiencing poor customer service and no one at Macys seems to know whats going on with your refunds. 
I spoke to a supervisor in the gift card department who claimed to have access to your orders but could not provide any information on the returns associated with those gift cards.

4. Delayed Refunds and Accrued Interest Another issue Ive faced is delays in receiving refunds for returns. I noticed that refunds often take several weeks, causing you to incur interest charges on your Macy 's credit card for money I should have already been reimbursed.

This delay in issuing refunds seems to be a recurring problem.

5. Discrepancies in Order Dates Ive noticed discrepancies in my account, specifically with order dates. For example, you I told that an order was placed on XX/XX/XXXX, but when I checked, the order was actually submitted on XX/XX/XXXX. This could indicate issues with Macy 's internal records or the handling of your account. 
6. Legal Rights Im aware that, under the law, customers are entitled to a refund within 10 days after returning a product, provided the return has been confirmed as received by the company. It seems that Macy 's is not adhering to this timeline in your case, and the delay has caused significant inconvenience and financial harm. 
7. Unfair Treatment I believe that, as a long-time customer who has always paid her bills on time, you should not be treated this way. Im asking for my money back, as well as any interest that may have been accrued due to Macys failure to process my refund in a timely manner."
7255848,"On XX/XX/23, I used my card ending in XXXX to purchase several items on XXXX due to their XXXX XXXX event. The transactions went through without any problems. However, the following day on XX/XX/23, I noticed I could no longer view my entire card number online, which is a feature US Bank offers ( See Picture XXXX ). Consequently, I called in only to have several representatives tell me all my accounts were closed. I soon called the XXXX number to get an idea why all my accounts were closed and the representative told me it was because of gift card purchases on my card ending in XXXX ( See Picture XXXX ). However, the transactions are still pending and will later be reversed because the transactions have been refunded. So all in all, it seems US Bank waited for me to complete the {$2000.00} minimum spend requirement ( XXXX XXXX XXXX ) to get the signup bonus valued at {$500.00} on the card ending in XXXX and then closed all my accounts a day later without notice."
6915990,"Received a XXXX email saying my purchase was completed although I didnt make a purchase. When I called the number XXXX told me my IP address was public and I was scammed. She then told me to download, I believe XXXX, which I did and then go to Zelle. I made numerous transfers under the belief and instruction from here that I was doing the right thing. This occurred XXXX. The total amount was about {$14000.00}. I kept all of the emails, transactions and phone number to which I spoke. She then told me to go to 1 of a list of stores and call from the parking lot. When I did she told me to go inside and by 4 {$500.00} gift cards and give her the numbers on them. I told her she was scamming me and didnt by the cards. Upon arriving home she called again and said I cold get just 2 cards. I told her no and that I was going to contact the FBI. When I tried contacting the number again it was ( out of service ). I contacted my bank to try to get my money back but was told that because I voluntarily sent the Zelle transfers there was nothing they could do."
7851656,"I was contacted about a work from home job through email and when I replied they sent a text saying to get on XXXX XXXX for the interview. I went through the interview that lasted about 45 minutes with questions and then I got an email congratulating me on getting the job. After that they asked if I had a fax machine and other equipment and I had some but they wanted a specific laptop and data entry software and asked if I had worked with petty cash, but not until they had me fill out a W-4 and I9 and had a copy of my social security card and drivers license. They said they were the company XXXX. They then said they were going to send me a check to cover the supplies, when I asked where I would get the stuff they said they have a vendor that I just send the money to. They sent the check and I deposited it and told them I wouldnt do anything until their TD Bank check cleared. They said it would clear the next day even though I said it takes 2-3 business. The check cleared the next day and the money was in the account. I researched XXXX and saw that it was a huge corporation and totally legit and the check had their logo and address on it. I wired the money to a XXXX account with the name XXXX XXXX and the routing # XXXX acct # XXXX with a XXXX XXXX, Utah address which I have as well. That night my account was overdrawn and the people I was talking to said thats never happened before and their accounting department would fix it in the morning. They disappeared after that and I could not contact them. XXXX XXXX was the name I spoke with on Teams. I have all the emails from them and screenshots of the FBI report. The bank denied the claim because TD Bank took the money back and the wire was taken from the account and now my account is overdrawn and they took our money and they didnt overdraw the account of the perpetrator. I thought a had a job and not I dont have a job and our bank account is overdrawn."
12882869,"I purchased a gift card from someone back in XXXX using XXXX XXXX purchase protection program. The scammer advertised this to me as a safe way to purchase from him. I read about the purchase protection program and XXXX made it seem that if I was scammed, they would help me with recoup my money if I didn't ' receive the gift card. I never received the gift card after contacting the person multiple times. I then filed a dispute with XXXX, they contacted the seller, and then closed my dispute without further explanation. This is unfair for XXXX to advertise a service that supposedly protects buyers, but never follows through. Please help. I am out {$500.00} because XXXX is advertising a buyer protection service that isn't true."
8370352,"I am writing to file a formal complaint against Venmo regarding a recent incident of fraud and the subsequent denial of my claim for reimbursement. I believe that the denial is unjust, and I am seeking your assistance in resolving this matter. 

Incident Details : Transaction Date : [ Date of the Transaction ] Transaction Amount : {$250.00} ID : XXXX Payment Method : Venmo XXXX XXXX XXXX Description of the Incident : I made a purchase of gift cards on XXXX XXXX using Venmo 's XXXX XXXX XXXX method for payment protection. Unfortunately, I fell victim to a scam, and the scammer not only failed to deliver the promised goods but also blocked me after receiving payment. I promptly reported the incident to Venmo, providing detailed proof and screenshots to substantiate my claim. 

Previous Claim : It is important to note that I have successfully filed a similar claim in the past with Venmo for a lesser amount, and it was approved. The key difference this time is that I used my Venmo balance for the payment, leaving me unable to dispute the transaction with my bank. 

Proof Submitted : I have attached all necessary documentation, including screenshots of the XXXX XXXX conversation, evidence of the promised goods, confirmation of the Venmo payment, and subsequent blocking by the scammer. These documents clearly illustrate the fraudulent nature of the transaction. 

Venmo 's Response : Despite presenting compelling evidence and highlighting the similarities to a previously approved claim, Venmo has denied my request for reimbursement. The denial is perplexing and leaves me without recourse for recovering the funds that were fraudulently taken from me."
8657880,"This person found me on a dating site in XXXX of XXXX and faked his identity. His name is either XXXX XXXX or XXXX XXXX, XXXX XXXX XXXX, from XXXX, XXXX but said he was a white male, XXXX XXXX XXXX from XXXX, TX. He also sent me many fake photos and even a fake photo of his "" XXXX XXXX XXXX  We became close over many months and he started asking me for money for "" job related needs '' as well as money for his XXXX XXXX XXXX XXXX He took advantage of my kindness and played off my empathy. I sent him money in the form of gift cards and XXXX. The whole time he was giving me promises that he would pay me back while telling me how much he cared for me and how he would never hurt me. He also told me several times he wanted to meet me and would even send me addresses of where to meet him and then never show up. He used me, manipulated me, and abused me mentally, financially and emotionally. 

( Please see attached letter for more info )"
